,unique.cellid,cellosaurus.name,Cellosaurus.Accession.id,PharmacoDB.id,cello_NCItd_1,cello_diseaseType,cello_NCItd_2,cello_diseaseType_2,cello_NCItd_3,cello_diseaseType_3,onco_name,onco_mainType,onco_tissue
62,AML-193,AML-193,CVCL_1071,AML193_61_2019,C9160,Childhood acute myeloid leukemia,NA,NA,NA,NA,Acute Myeloid Leukemia (AML),Leukemia,Myeloid
63,AMO1,AMO1,CVCL_1806,AMO1_62_2019,C3242,Plasma cell myeloma,NA,NA,NA,NA,Plasma Cell Myeloma,Mature B-Cell Neoplasms,Lymphoid
64,AN3-CA,AN3-CA,CVCL_0028,AN3CA_63_2019,C7359,Endometrial adenocarcinoma,NA,NA,NA,NA,Endometrial Carcinoma (UCEC),Endometrial Cancer,Uterus
65,ARH-77,NA,CVCL_1072,ARH77_64_2019,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,ASH-3,ASH-3,CVCL_2856,ASH3_65_2019,C3878,Thyroid gland undifferentiated (anaplastic) carcinoma,NA,NA,NA,NA,Anaplastic Thyroid Cancer,Thyroid Cancer,Thyroid
67,Aska-SS,Aska-SS,CVCL_6C43,ASKA_66_2019,C4279,Biphasic synovial sarcoma,NA,NA,NA,NA,Synovial Sarcoma (SYNS),Soft Tissue Sarcoma,Soft Tissue
68,AsPC-1,AsPC-1,CVCL_0152,AsPC1_67_2019,C9120,Pancreatic ductal adenocarcinoma,NA,NA,NA,NA,Pancreatic Adenocarcinoma (PAAD),Pancreatic Adenocarcinoma,Pancreas
69,ATN-1,ATN-1,CVCL_1073,ATN1_68_2019,C9142,Adult T acute lymphoblastic leukemia,NA,NA,NA,NA,T-Lymphoblastic Leukemia/Lymphoma (TLL),T-Lymphoblastic Leukemia/Lymphoma,Lymphoid
70,ATRFLOX,ATRFLOX,CVCL_2299,ATRFLOX_69_2019,C4910,Colon carcinoma,NA,NA,NA,NA,Bowel,"Bowel Cancer, NOS",Bowel
71,AU565,AU565,CVCL_1074,AU565_70_2019,C5214,Breast adenocarcinoma,NA,NA,NA,NA,Invasive Breast Carcinoma (BRCA),Breast Cancer,Breast
72,AZ-521,AZ-521,CVCL_2862,AZ521_72_2019,C7889,Duodenal adenocarcinoma,NA,NA,NA,NA,Duodenal Adenocarcinoma,Small Bowel Cancer,Bowel
73,B-CPAP,B-CPAP,CVCL_0153,BCPAP_82_2019,C6040,Poorly differentiated thyroid gland carcinoma,NA,NA,NA,NA,Poorly Differentiated Thyroid Cancer,Thyroid Cancer,Thyroid
74,B2-17,B2-17,NA,NA,C60781,Astrocytoma,NA,NA,NA,NA,Astrocytoma,Glioma,CNS/Brain
75,BALL-1,BALL-1,CVCL_1075,BALL1_73_2019,C9143,Adult B acute lymphoblastic leukemia,NA,NA,NA,NA,B-Lymphoblastic Leukemia/Lymphoma (BLL),B-Lymphoblastic Leukemia/Lymphoma,Lymphoid
76,BB30-HNC,BB30-HNC,CVCL_1076,BB30HNC_74_2019,C34447,Head and neck squamous cell carcinoma,NA,NA,NA,NA,Head and Neck Squamous Cell Carcinoma,Head and Neck Cancer,Head and Neck
77,BB49-HNC,BB49-HNC,CVCL_1077,BB49HNC_75_2019,C4041,Floor of mouth squamous cell carcinoma,NA,NA,NA,NA,Oral Cavity Squamous Cell Carcinoma (OCSC),Head and Neck Cancer,Head and Neck
78,BB65-RCC,BB65-RCC,CVCL_1078,BB65RCC_76_2019,C9385,Renal cell carcinoma,NA,NA,NA,NA,Renal Cell Carcinoma,Renal Cell Carcinoma,Kidney
79,BC-1,BC-1,CVCL_1079,BC1_77_2019,C6915,Primary effusion lymphoma,NA,NA,NA,NA,Primary Effusion Lymphoma,Mature B-Cell Neoplasms,Lymphoid
80,BC-2,BC-2,CVCL_1856,BC2_78_2019,C6915,Primary effusion lymphoma,NA,NA,NA,NA,Primary Effusion Lymphoma,Mature B-Cell Neoplasms,Lymphoid
81,BC-3,BC-3,CVCL_1080,BC3_79_2019,C6915,Primary effusion lymphoma,NA,NA,NA,NA,Primary Effusion Lymphoma,Mature B-Cell Neoplasms,Lymphoid
82,BC-3C,BC-3C,CVCL_1958,BC3C_80_2019,C4912,Bladder carcinoma,NA,NA,NA,NA,NA,NA,Bladder/Urinary Tract
83,BCP-1,BCP-1,CVCL_0107,BCP1_81_2019,C6915,Primary effusion lymphoma,NA,NA,NA,NA,Primary Effusion Lymphoma,Mature B-Cell Neoplasms,Lymphoid
84,BDCM,BDCM,CVCL_4613,BDCM_83_2019,C3171,Acute myeloid leukemia,NA,NA,NA,NA,Acute Myeloid Leukemia,Leukemia,Myeloid
85,BE-13,BE-13,CVCL_1081,BE13_84_2019,C7953,Childhood T acute lymphoblastic leukemia,NA,NA,NA,NA,Early T-Cell Precursor Lymphoblastic Leukemia (ETPLL),T-Lymphoblastic Leukemia/Lymphoma,Lymphoid
86,SK-N-BE(2)-C,SK-N-BE(2)-C,CVCL_0529,NA,C3270,Neuroblastoma,NA,NA,NA,NA,Neuroblastoma,Peripheral Nervous System,Peripheral Nervous System
87,Becker,Becker,CVCL_1093,Becker_86_2019,C60781,Astrocytoma,NA,NA,NA,NA,Astrocytoma,Glioma,CNS/Brain
88,BEN,BEN,CVCL_1082,BEN_87_2019,C2926,Non-small cell lung carcinoma,NA,NA,NA,NA,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,Lung
89,BeWo,BeWo,NA,NA,C4646,Gestational choriocarcinoma,NA,NA,NA,NA,Choriocarcinoma (UCCA),Gestational Trophoblastic Disease,Uterus
90,BFTC-905,BFTC-905,CVCL_1083,BFTC905_88_2019,C4912,Bladder carcinoma,NA,NA,NA,NA,NA,NA,Bladder/Urinary Tract
91,BFTC-909,BFTC-909,CVCL_1084,BFTC909_89_2019,C9385,Renal cell carcinoma,NA,NA,NA,NA,Renal Cell Carcinoma,Renal Cell Carcinoma,Kidney
92,BGC-823,BGC-823,CVCL_3360,BGC823_90_2019,C27677,Human papillomavirus-related endocervical adenocarcinoma,NA,NA,NA,NA,Endocervical Adenocarcinoma (ECAD),Cervical Cancer,Cervix
93,BHT-101,BHT-101,CVCL_1085,BHT101_91_2019,C3878,Thyroid gland undifferentiated (anaplastic) carcinoma,NA,NA,NA,NA,Anaplastic Thyroid Cancer,Thyroid Cancer,Thyroid
94,BHY,BHY,CVCL_1086,BHY_92_2019,C34447,Head and neck squamous cell carcinoma,NA,NA,NA,NA,Head and Neck Squamous Cell Carcinoma,Head and Neck Cancer,Head and Neck
95,BICR 10,BICR 10,CVCL_2307,BICR10_93_2019,C4040,Buccal mucosa squamous cell carcinoma,NA,NA,NA,NA,Head and Neck Squamous Cell Carcinoma (HNSC),Head and Neck Cancer,Head and Neck
96,BICR 16,BICR 16,CVCL_2308,BICR16_94_2019,C4648,Tongue squamous cell carcinoma,NA,NA,NA,NA,Head and Neck Squamous Cell Carcinoma (HNSC),Head and Neck Cancer,Head and Neck
97,BICR 18,BICR 18,CVCL_2309,BICR18_95_2019,C4044,Laryngeal squamous cell carcinoma,NA,NA,NA,NA,Larynx Squamous Cell Carcinoma,Head and Neck Cancer,Head and Neck
98,BICR 22,BICR 22,CVCL_2310,BICR22_96_2019,C4648,Tongue squamous cell carcinoma,NA,NA,NA,NA,Head and Neck Squamous Cell Carcinoma (HNSC),Head and Neck Cancer,Head and Neck
99,BICR 31,BICR 31,CVCL_2312,BICR31_97_2019,C4648,Tongue squamous cell carcinoma,NA,NA,NA,NA,Head and Neck Squamous Cell Carcinoma (HNSC),Head and Neck Cancer,Head and Neck
100,BICR 56,BICR 56,CVCL_2313,BICR56_98_2019,C4648,Tongue squamous cell carcinoma,NA,NA,NA,NA,Head and Neck Squamous Cell Carcinoma (HNSC),Head and Neck Cancer,Head and Neck
101,BICR 6,BICR 6,CVCL_2314,BICR6_99_2019,C4043,Hypopharyngeal squamous cell carcinoma,NA,NA,NA,NA,Hypopharynx Squamous Cell Carcinoma,Head and Neck Cancer,Head and Neck
102,BICR 78,BICR 78,CVCL_2315,BICR78_100_2019,C4833,Oral cavity squamous cell carcinoma,NA,NA,NA,NA,Oral Cavity Squamous Cell Carcinoma,Head and Neck Cancer,Head and Neck
103,BJ1-hTERT,NA,CVCL_6573,BJhTERT_101_2019,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,BJAB,BJAB,CVCL_5711,BJAB_102_2019,C2912,Burkitt lymphoma,NA,NA,NA,NA,Burkitt Lymphoma,Mature B-Cell Neoplasms,Lymphoid
105,BL-41,BL-41,CVCL_1087,BL41_103_2019,C2912,Burkitt lymphoma,NA,NA,NA,NA,Burkitt Lymphoma,Mature B-Cell Neoplasms,Lymphoid
106,BL-70,BL-70,CVCL_1088,BL70_104_2019,C2912,Burkitt lymphoma,NA,NA,NA,NA,Burkitt Lymphoma,Mature B-Cell Neoplasms,Lymphoid
107,BM-1604,BM-1604,NA,NA,C4863,Prostate carcinoma,NA,NA,NA,NA,Prostate,"Prostate Cancer, NOS",Prostate
108,BOKU,BOKU,CVCL_1089,BOKU_105_2019,C27676,Human papillomavirus-related cervical squamous cell carcinoma,NA,NA,NA,NA,Cervical Squamous Cell Carcinoma (CESC),Cervical Cancer,Cervix
109,BONNA-12,BONNA-12,CVCL_1090,BONNA12_106_2019,C7402,Hairy cell leukemia,NA,NA,NA,NA,Hairy Cell Leukemia,Mature B-Cell Neoplasms,Lymphoid
110,BPH-1,BPH-1,CVCL_1091,BPH1_107_2019,C2897,Benign prostatic hyperplasia,NA,NA,NA,NA,NA,NA,Prostate
111,BT 145,BT 145,CVCL_IP10,BT145_116_2019,C3058,Glioblastoma,NA,NA,NA,NA,Glioblastoma,Glioma,CNS/Brain
112,BT 159,BT 159,CVCL_IP11,BT159_118_2019,C3058,Glioblastoma,NA,NA,NA,NA,Glioblastoma,Glioma,CNS/Brain
113,BT 172,BT 172,CVCL_IP12,BT172_121_2019,C3058,Glioblastoma,NA,NA,NA,NA,Glioblastoma,Glioma,CNS/Brain
114,BT 245,BT 245,CVCL_IP13,BT245_130_2019,C3058,Glioblastoma,NA,NA,NA,NA,Glioblastoma,Glioma,CNS/Brain
115,BT-12,BT-12,CVCL_M155,BT12_113_2019,C6906,Atypical teratoid/rhabdoid tumor,NA,NA,NA,NA,Atypical Teratoid/Rhabdoid Tumor,Embryonal Tumor,CNS/Brain
116,BT-16,BT-16,CVCL_M156,BT16_119_2019,C6906,Atypical teratoid/rhabdoid tumor,NA,NA,NA,NA,Atypical Teratoid/Rhabdoid Tumor,Embryonal Tumor,CNS/Brain
117,BT-20,BT-20,CVCL_0178,BT20_108_2019,C4194,"Invasive ductal carcinoma, not otherwise specified",NA,NA,NA,NA,Breast Invasive Ductal Carcinoma,Breast Cancer,Breast
118,BT-474,BT-474,CVCL_0179,BT474_109_2019,C4194,"Invasive ductal carcinoma, not otherwise specified",NA,NA,NA,NA,Breast Invasive Ductal Carcinoma,Breast Cancer,Breast
119,BT-483,BT-483,CVCL_2319,BT483_110_2019,C4194,"Invasive ductal carcinoma, not otherwise specified",NA,NA,NA,NA,Breast Invasive Ductal Carcinoma,Breast Cancer,Breast
120,BT-549,BT-549,CVCL_1092,BT549_111_2019,C4194,"Invasive ductal carcinoma, not otherwise specified",NA,NA,NA,NA,Breast Invasive Ductal Carcinoma,Breast Cancer,Breast
121,BT 112,BT 112,CVCL_WW37,BT112_112_2019,C3058,Glioblastoma,NA,NA,NA,NA,Glioblastoma,Glioma,CNS/Brain
122,BT 131,BT 131,CVCL_WW38,BT131_114_2019,C3058,Glioblastoma,NA,NA,NA,NA,Glioblastoma,Glioma,CNS/Brain
123,BT 139,BT 139,CVCL_WW39,BT139_115_2019,C3058,Glioblastoma,NA,NA,NA,NA,Glioblastoma,Glioma,CNS/Brain
124,BT 147,BT 147,CVCL_WW40,BT147_117_2019,C3058,Glioblastoma,NA,NA,NA,NA,Glioblastoma,Glioma,CNS/Brain
125,BT 164,BT 164,CVCL_WW41,BT164_120_2019,C3058,Glioblastoma,NA,NA,NA,NA,Glioblastoma,Glioma,CNS/Brain
126,BT 179,BT 179,CVCL_WW43,BT179_122_2019,C3058,Glioblastoma,NA,NA,NA,NA,Glioblastoma,Glioma,CNS/Brain
127,BT 181,BT 181,CVCL_WW44,NA,C3058,Glioblastoma,NA,NA,NA,NA,Glioblastoma,Glioma,CNS/Brain
128,BT 187,BT 187,CVCL_WW46,BT187_123_2019,C3058,Glioblastoma,NA,NA,NA,NA,Glioblastoma,Glioma,CNS/Brain
129,BT 189,BT 189,NA,NA,C3058,Glioblastoma,NA,NA,NA,NA,Glioblastoma,Glioma,CNS/Brain
130,BT 216,NA,CVCL_WW49,BT216_124_2019,C3058,Glioblastoma,NA,NA,NA,NA,Glioblastoma,Glioma,CNS/Brain
131,BT 224,BT 224,CVCL_WW50,BT224_125_2019,C3058,Glioblastoma,NA,NA,NA,NA,Glioblastoma,Glioma,CNS/Brain
132,BT 228,BT 228,CVCL_WW51,BT228_126_2019,C3058,Glioblastoma,NA,NA,NA,NA,Glioblastoma,Glioma,CNS/Brain
133,BT 231,BT 231,CVCL_WW52,BT231_127_2019,C3058,Glioblastoma,NA,NA,NA,NA,Glioblastoma,Glioma,CNS/Brain
134,BT 232,BT 232,CVCL_WW53,BT232_128_2019,C3058,Glioblastoma,NA,NA,NA,NA,Glioblastoma,Glioma,CNS/Brain
135,BT 239,BT 239,CVCL_WW54,BT239_129_2019,C3058,Glioblastoma,NA,NA,NA,NA,Glioblastoma,Glioma,CNS/Brain
136,BT 248,BT 248,CVCL_WW55,BT248_131_2019,C3058,Glioblastoma,NA,NA,NA,NA,Glioblastoma,Glioma,CNS/Brain
137,BT 271,BT 271,CVCL_WW56,BT271_132_2019,C3058,Glioblastoma,NA,NA,NA,NA,Glioblastoma,Glioma,CNS/Brain
138,BT 286,BT 286,CVCL_WW57,BT286_133_2019,C3058,Glioblastoma,NA,NA,NA,NA,Glioblastoma,Glioma,CNS/Brain
139,BT 320,BT 320,CVCL_WW58,BT320_134_2019,C3058,Glioblastoma,NA,NA,NA,NA,Glioblastoma,Glioma,CNS/Brain
140,BT 328,BT 328,CVCL_WW59,BT328_135_2019,C3058,Glioblastoma,NA,NA,NA,NA,Glioblastoma,Glioma,CNS/Brain
141,BT 330,BT 330,CVCL_WW60,BT330_136_2019,C3058,Glioblastoma,NA,NA,NA,NA,Glioblastoma,Glioma,CNS/Brain
142,BT 333,BT 333,CVCL_WW61,BT333_137_2019,C3058,Glioblastoma,NA,NA,NA,NA,Glioblastoma,Glioma,CNS/Brain
143,BT 340,BT 340,CVCL_WW62,BT340_138_2019,C3058,Glioblastoma,NA,NA,NA,NA,Glioblastoma,Glioma,CNS/Brain
144,BT 359,BT 359,CVCL_WW63,BT359_139_2019,C3058,Glioblastoma,NA,NA,NA,NA,Glioblastoma,Glioma,CNS/Brain
145,BT 416,BT 416,CVCL_WW64,BT416_140_2019,C3058,Glioblastoma,NA,NA,NA,NA,Glioblastoma,Glioma,CNS/Brain
146,BT 422,BT 422,CVCL_WW65,BT422_141_2019,C3058,Glioblastoma,NA,NA,NA,NA,Glioblastoma,Glioma,CNS/Brain
147,BT 428,BT 428,CVCL_WW66,BT428_142_2019,C3058,Glioblastoma,NA,NA,NA,NA,Glioblastoma,Glioma,CNS/Brain
148,BT 440,BT 440,CVCL_WW67,BT440_143_2019,C3058,Glioblastoma,NA,NA,NA,NA,Glioblastoma,Glioma,CNS/Brain
149,BT 444,BT 444,CVCL_WW68,BT444_144_2019,C3058,Glioblastoma,NA,NA,NA,NA,Glioblastoma,Glioma,CNS/Brain
150,BT 482,BT 482,CVCL_WW69,BT482_145_2019,C3058,Glioblastoma,NA,NA,NA,NA,Glioblastoma,Glioma,CNS/Brain
151,BT 498,BT 498,CVCL_WW71,BT498_146_2019,C3058,Glioblastoma,NA,NA,NA,NA,Glioblastoma,Glioma,CNS/Brain
152,BT 504,BT 504,CVCL_WW72,BT504_147_2019,C3058,Glioblastoma,NA,NA,NA,NA,Glioblastoma,Glioma,CNS/Brain
153,BV-173,BV-173,CVCL_0181,BV173_148_2019,C3174,"Chronic myelogenous leukemia, BCR-ABL1 positive",NA,NA,NA,NA,"Chronic Myeloid Leukemia, BCR-ABL1+ (CMLBCRABL1)",Myeloproliferative Neoplasms,Myeloid
154,BxPC-3,BxPC-3,CVCL_0186,BxPC3_149_2019,C9120,Pancreatic ductal adenocarcinoma,NA,NA,NA,NA,Pancreatic Adenocarcinoma (PAAD),Pancreatic Adenocarcinoma,Pancreas
155,C-33 A,C-33 A,CVCL_1094,C33A_150_2019,C4028,Cervical squamous cell carcinoma,NA,NA,NA,NA,Cervical Squamous Cell Carcinoma,Cervical Cancer,Cervix
156,C-4-I,C-4-I,CVCL_2253,C4I_151_2019,C27676,Human papillomavirus-related cervical squamous cell carcinoma,NA,NA,NA,NA,Cervical Squamous Cell Carcinoma (CESC),Cervical Cancer,Cervix
157,C-4-II,C-4-II,NA,NA,C27676,Human papillomavirus-related cervical squamous cell carcinoma,NA,NA,NA,NA,Cervical Squamous Cell Carcinoma (CESC),Cervical Cancer,Cervix
158,C170,C170,CVCL_S959,C170_152_2019,C5105,Colorectal adenocarcinoma,NA,NA,NA,NA,Colorectal Adenocarcinoma,Colorectal Cancer,Bowel
159,C2BBe1,C2BBe1,CVCL_1096,C2BBe1_153_2019,C4349,Colon adenocarcinoma,NA,NA,NA,NA,Colon Adenocarcinoma,Colorectal Cancer,Bowel
