"","Run","Age","Assay.Type","AssemblyName","AvgSpotLen","Bases","Biomaterial_provider","BioProject","BioSample","BioSampleModel","Bytes","Cell_Line","Center.Name","Consent","DATASTORE.filetype","DATASTORE.provider","DATASTORE.region","disease","disease_stage","Ethnicity","Experiment","Instrument","isolate","Library.Name","LibraryLayout","LibrarySelection","LibrarySource","Organism","Platform","ReleaseDate","Sample.Name","sample_type","sex","SRA.Study","tissue"
"197","SRR8615232",58,"RNA-Seq","GCA_000001405.13",202,14880243948,"DSMZ:MEL-JUSO","PRJNA523380","SAMN10988249","Human",7050390110,"MEL-JUSO","BROAD INSTITUTE","public","bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","malignant_melanoma","primary","Caucasian","SRX5414521","Illumina HiSeq 2500","cell line","RNASeq-MELJUSO_SKIN","PAIRED","cDNA","TRANSCRIPTOMIC","Homo sapiens","ILLUMINA","2019-03-27T00:00:00Z","MELJUSO_SKIN","cell culture","female","SRP186687","skin"
"198","SRR8615233",NA,"RNA-Seq","GCA_000001405.13",202,13941175642,"DSMZ:MEL-HO","PRJNA523380","SAMN10988268","Human",6559195814,"MEL-HO","BROAD INSTITUTE","public","bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","malignant_melanoma","primary","Caucasian","SRX5414520","Illumina HiSeq 2500","cell line","RNASeq-MELHO_SKIN","PAIRED","cDNA","TRANSCRIPTOMIC","Homo sapiens","ILLUMINA","2019-03-27T00:00:00Z","MELHO_SKIN","cell culture","female","SRP186687","skin"
"199","SRR8615234",55,"RNA-Seq","GCA_000001405.13",202,15870447544,"NIBRI","PRJNA523380","SAMN10988184","Human",7922717507,"MEG-01","BROAD INSTITUTE","public","bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","haematopoietic_neoplasm (blast_phase_chronic_myeloid_leukaemia)","primary","Asian","SRX5414519","Illumina HiSeq 2500","cell line","RNASeq-MEG01_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","PAIRED","cDNA","TRANSCRIPTOMIC","Homo sapiens","ILLUMINA","2019-03-27T00:00:00Z","MEG01_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","cell culture","male","SRP186687","haematopoietic_and_lymphoid_tissue"
"200","SRR8615235",81,"RNA-Seq","GCA_000001405.13",202,12377709782,"NIBRI","PRJNA523380","SAMN10987796","Human",5894838881,"MFE-319","BROAD INSTITUTE","public","bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","carcinoma (adenocarcinoma)","primary","Caucasian","SRX5414518","Illumina HiSeq 2500","cell line","RNASeq-MFE319_ENDOMETRIUM","PAIRED","cDNA","TRANSCRIPTOMIC","Homo sapiens","ILLUMINA","2019-03-27T00:00:00Z","MFE319_ENDOMETRIUM","cell culture","female","SRP186687","endometrium"
"201","SRR8615236",68,"RNA-Seq","GCA_000001405.13",202,20984597694,NA,"PRJNA523380","SAMN10987797","Human",10420460406,"MFE-296","BROAD INSTITUTE","public","bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","carcinoma (adenocarcinoma)","primary","Caucasian","SRX5414517","Illumina HiSeq 2500","cell line","RNASeq-MFE296_ENDOMETRIUM","PAIRED","cDNA","TRANSCRIPTOMIC","Homo sapiens","ILLUMINA","2019-03-27T00:00:00Z","MFE296_ENDOMETRIUM","cell culture","female","SRP186687","endometrium"
"202","SRR8615237",77,"RNA-Seq","GCA_000001405.13",202,15046230176,"NIBRI","PRJNA523380","SAMN10987795","Human",7097671191,"MFE-280","BROAD INSTITUTE","public","bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","carcinoma (adenocarcinoma)","primary","Caucasian","SRX5414516","Illumina HiSeq 2500","cell line","RNASeq-MFE280_ENDOMETRIUM","PAIRED","cDNA","TRANSCRIPTOMIC","Homo sapiens","ILLUMINA","2019-03-27T00:00:00Z","MFE280_ENDOMETRIUM","cell culture","female","SRP186687","endometrium"
"203","SRR8615238",78,"RNA-Seq","GCA_000001405.13",202,14955530560,"GNF","PRJNA523380","SAMN10987991","Human",7026945192,"MeWo","BROAD INSTITUTE","public","bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","malignant_melanoma","metastasis","Caucasian","SRX5414515","Illumina HiSeq 2500","cell line","RNASeq-MEWO_SKIN","PAIRED","cDNA","TRANSCRIPTOMIC","Homo sapiens","ILLUMINA","2019-03-27T00:00:00Z","MEWO_SKIN","cell culture","male","SRP186687","skin"
"204","SRR8615239",15,"RNA-Seq","GCA_000001405.13",202,23454153340,"DSMZ:MHH-CALL-2","PRJNA523380","SAMN10988567","Human",12389082905,"MHH-CALL-2","BROAD INSTITUTE","public","bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","lymphoid_neoplasm (acute_lymphoblastic_B_cell_leukaemia)","primary","Caucasian","SRX5414514","Illumina HiSeq 2500","cell line","RNASeq-MHHCALL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","PAIRED","cDNA","TRANSCRIPTOMIC","Homo sapiens","ILLUMINA","2019-03-27T00:00:00Z","MHHCALL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","cell culture","female","SRP186687","haematopoietic_and_lymphoid_tissue"
"205","SRR8615240",14,"RNA-Seq","GCA_000001405.13",202,14113585268,"NIBRI","PRJNA523380","SAMN10988146","Human",6659072614,"MG-63","BROAD INSTITUTE","public","bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","osteosarcoma","primary","Caucasian","SRX5414513","Illumina HiSeq 2500","cell line","RNASeq-MG63_BONE","PAIRED","cDNA","TRANSCRIPTOMIC","Homo sapiens","ILLUMINA","2019-03-27T00:00:00Z","MG63_BONE","cell culture","male","SRP186687","bone"
"206","SRR8615241",64,"RNA-Seq","GCA_000001405.13",202,20745498576,"NIBRI","PRJNA523380","SAMN10987902","Human",10985245996,"Panc 02.13","BROAD INSTITUTE","public","bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","carcinoma","primary","Caucasian","SRX5414512","Illumina HiSeq 2500","cell line","RNASeq-PANC0213_PANCREAS","PAIRED","cDNA","TRANSCRIPTOMIC","Homo sapiens","ILLUMINA","2019-03-27T00:00:00Z","PANC0213_PANCREAS","cell culture","female","SRP186687","pancreas"
"207","SRR8615242",57,"RNA-Seq","GCA_000001405.13",202,16095791876,"DSMZ:OCI-AML3","PRJNA523380","SAMN10988470","Human",8083824926,"OCI-AML3","BROAD INSTITUTE","public","bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","haematopoietic_neoplasm (acute_myeloid_leukaemia\, M4)","primary","Caucasian","SRX5414511","Illumina HiSeq 2500","cell line","RNASeq-OCIAML3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","PAIRED","cDNA","TRANSCRIPTOMIC","Homo sapiens","ILLUMINA","2019-03-27T00:00:00Z","OCIAML3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","cell culture","male","SRP186687","haematopoietic_and_lymphoid_tissue"
"208","SRR8615243",NA,"RNA-Seq","GCA_000001405.13",202,22042853272,"ECACC:OAW28","PRJNA523380","SAMN10988017","Human",11587966858,"OAW28","BROAD INSTITUTE","public","bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","carcinoma","primary","Caucasian","SRX5414510","Illumina HiSeq 2500","cell line","RNASeq-OAW28_OVARY","PAIRED","cDNA","TRANSCRIPTOMIC","Homo sapiens","ILLUMINA","2019-03-27T00:00:00Z","OAW28_OVARY","cell culture","female","SRP186687","ovary"
"209","SRR8615244",35,"RNA-Seq","GCA_000001405.13",202,14085065696,"GNF","PRJNA523380","SAMN10987867","Human",7142241080,"NUGC-4","BROAD INSTITUTE","public","bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","carcinoma (signet_ring_adenocarcinoma)","metastasis","Asian","SRX5414509","Illumina HiSeq 2500","cell line","RNASeq-NUGC4_STOMACH","PAIRED","cDNA","TRANSCRIPTOMIC","Homo sapiens","ILLUMINA","2019-03-27T00:00:00Z","NUGC4_STOMACH","cell culture","female","SRP186687","stomach"
"210","SRR8615245",69,"RNA-Seq","GCA_000001405.13",202,18404540372,"ATCC:SW 1271","PRJNA523380","SAMN10987907","Human",9213617117,"SW 1271","BROAD INSTITUTE","public","bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","carcinoma (small_cell_carcinoma)","primary","Caucasian","SRX5414508","Illumina HiSeq 2500","cell line","RNASeq-SW1271_LUNG","PAIRED","cDNA","TRANSCRIPTOMIC","Homo sapiens","ILLUMINA","2019-03-27T00:00:00Z","SW1271_LUNG","cell culture","male","SRP186687","lung"
"211","SRR8615246",56,"RNA-Seq","GCA_000001405.13",202,24097203776,"NIBRI","PRJNA523380","SAMN10988212","Human",13485359049,"Capan-2","BROAD INSTITUTE","public","bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","carcinoma (ductal_carcinoma)","primary","Caucasian","SRX5414507","Illumina HiSeq 2500","cell line","RNASeq-CAPAN2_PANCREAS","PAIRED","cDNA","TRANSCRIPTOMIC","Homo sapiens","ILLUMINA","2019-03-27T00:00:00Z","CAPAN2_PANCREAS","cell culture","male","SRP186687","pancreas"
"212","SRR8615247",40,"RNA-Seq","GCA_000001405.13",202,18927313342,"ATCC:Capan-1","PRJNA523380","SAMN10987884","Human",10637759172,"Capan-1","BROAD INSTITUTE","public","bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","carcinoma (ductal_carcinoma)","metastasis","Caucasian","SRX5414506","Illumina HiSeq 2500","cell line","RNASeq-CAPAN1_PANCREAS","PAIRED","cDNA","TRANSCRIPTOMIC","Homo sapiens","ILLUMINA","2019-03-27T00:00:00Z","CAPAN1_PANCREAS","cell culture","male","SRP186687","pancreas"
"213","SRR8615249",63,"RNA-Seq","GCA_000001405.13",202,17511403230,"ICLC","PRJNA523380","SAMN10987869","Human",9320949121,"CAS-1","BROAD INSTITUTE","public","bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","glioma (astrocytoma_Grade_IV\, glioblastoma_multiforme)","primary","Caucasian","SRX5414504","Illumina HiSeq 2500","cell line","RNASeq-CAS1_CENTRAL_NERVOUS_SYSTEM","PAIRED","cDNA","TRANSCRIPTOMIC","Homo sapiens","ILLUMINA","2019-03-27T00:00:00Z","CAS1_CENTRAL_NERVOUS_SYSTEM","cell culture","male","SRP186687","central_nervous_system"
"214","SRR8615250",26,"RNA-Seq","GCA_000001405.13",202,18152352664,NA,"PRJNA523380","SAMN10987887","Human",9633205088,"CFPAC-1","BROAD INSTITUTE","public","bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","carcinoma (ductal_carcinoma)","metastasis","Caucasian","SRX5414503","Illumina HiSeq 2500","cell line","RNASeq-CFPAC1_PANCREAS","PAIRED","cDNA","TRANSCRIPTOMIC","Homo sapiens","ILLUMINA","2019-03-27T00:00:00Z","CFPAC1_PANCREAS","cell culture","male","SRP186687","pancreas"
"215","SRR8615252",47,"RNA-Seq","GCA_000001405.13",202,20902416620,"ATCC:NCI-H2073","PRJNA523380","SAMN10989581","Human",11114970587,"NCI-H2073","BROAD INSTITUTE","public","bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","carcinoma (adenocarcinoma)","primary","Caucasian","SRX5414501","Illumina HiSeq 2500","cell line","RNASeq-NCIH2073_LUNG","PAIRED","cDNA","TRANSCRIPTOMIC","Homo sapiens","ILLUMINA","2019-03-27T00:00:00Z","NCIH2073_LUNG","cell culture","female","SRP186687","lung"
"216","SRR8615253",70,"RNA-Seq","GCA_000001405.13",202,17711333336,"ATCC:NCI-H2066","PRJNA523380","SAMN10987642","Human",8498583989,"NCI-H2066","BROAD INSTITUTE","public","bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","carcinoma (small_cell_carcinoma)","primary","Caucasian","SRX5414500","Illumina HiSeq 2500","cell line","RNASeq-NCIH2066_LUNG","PAIRED","cDNA","TRANSCRIPTOMIC","Homo sapiens","ILLUMINA","2019-03-27T00:00:00Z","NCIH2066_LUNG","cell culture","female","SRP186687","lung"
"217","SRR8615254",65,"RNA-Seq","GCA_000001405.13",202,19073141788,"ATCC:NCI-H2052","PRJNA523380","SAMN10987937","Human",9201205653,"NCI-H2052","BROAD INSTITUTE","public","bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","mesothelioma","metastasis","Caucasian","SRX5414499","Illumina HiSeq 2500","cell line","RNASeq-NCIH2052_PLEURA","PAIRED","cDNA","TRANSCRIPTOMIC","Homo sapiens","ILLUMINA","2019-03-27T00:00:00Z","NCIH2052_PLEURA","cell culture","male","SRP186687","pleura"
"218","SRR8615255",NA,"RNA-Seq","GCA_000001405.13",202,21363941574,"ATCC:NCI-H2030","PRJNA523380","SAMN10988239","Human",11254186250,"NCI-H2030","BROAD INSTITUTE","public","bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","carcinoma (non_small_cell_carcinoma)","metastasis","Caucasian","SRX5414498","Illumina HiSeq 2500","cell line","RNASeq-NCIH2030_LUNG","PAIRED","cDNA","TRANSCRIPTOMIC","Homo sapiens","ILLUMINA","2019-03-27T00:00:00Z","NCIH2030_LUNG","cell culture","male","SRP186687","lung"
"219","SRR8615256",69,"RNA-Seq","GCA_000001405.13",202,18939117818,"ATCC:NCI-H2029","PRJNA523380","SAMN10987644","Human",9386593774,"NCI-H2029","BROAD INSTITUTE","public","bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","carcinoma (small_cell_carcinoma)","metastasis","Caucasian","SRX5414497","Illumina HiSeq 2500","cell line","RNASeq-NCIH2029_LUNG","PAIRED","cDNA","TRANSCRIPTOMIC","Homo sapiens","ILLUMINA","2019-03-27T00:00:00Z","NCIH2029_LUNG","cell culture","female","SRP186687","lung"
"220","SRR8615257",26,"RNA-Seq","GCA_000001405.13",202,19371139258,"ATCC:NCI-H2023","PRJNA523380","SAMN10988117","Human",10216004126,"NCI-H2023","BROAD INSTITUTE","public","bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","carcinoma (adenocarcinoma)","metastasis","Caucasian","SRX5414496","Illumina HiSeq 2500","cell line","RNASeq-NCIH2023_LUNG","PAIRED","cDNA","TRANSCRIPTOMIC","Homo sapiens","ILLUMINA","2019-03-27T00:00:00Z","NCIH2023_LUNG","cell culture","male","SRP186687","lung"
"221","SRR8615258",68,"RNA-Seq","GCA_000001405.13",202,16425596266,"ATCC:NCI-H2009","PRJNA523380","SAMN10988519","Human",8228424417,"NCI-H2009","BROAD INSTITUTE","public","bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","carcinoma (adenocarcinoma)","metastasis","Caucasian","SRX5414495","Illumina HiSeq 2500","cell line","RNASeq-NCIH2009_LUNG","PAIRED","cDNA","TRANSCRIPTOMIC","Homo sapiens","ILLUMINA","2019-03-27T00:00:00Z","NCIH2009_LUNG","cell culture","female","SRP186687","lung"
"222","SRR8615259",NA,"RNA-Seq","GCA_000001405.13",202,17272909506,NA,"PRJNA523380","SAMN10989609","Human",9244899473,"NCI-H2004 RT","BROAD INSTITUTE","public","bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",NA,NA,NA,"SRX5414494","Illumina HiSeq 2500","cell line","RNASeq-NCIH2004RT_SOFT_TISSUE","PAIRED","cDNA","TRANSCRIPTOMIC","Homo sapiens","ILLUMINA","2019-03-27T00:00:00Z","NCIH2004RT_SOFT_TISSUE","cell culture",NA,"SRP186687","soft_tissue"
"223","SRR8615260",NA,"RNA-Seq","GCA_000001405.13",202,17407564726,"ATCC:NCI-H1975","PRJNA523380","SAMN10988259","Human",9316763692,"NCI-H1975","BROAD INSTITUTE","public","bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","carcinoma (non_small_cell_carcinoma)","primary","Caucasian","SRX5414493","Illumina HiSeq 2500","cell line","RNASeq-NCIH1975_LUNG","PAIRED","cDNA","TRANSCRIPTOMIC","Homo sapiens","ILLUMINA","2019-03-27T00:00:00Z","NCIH1975_LUNG","cell culture","female","SRP186687","lung"
"224","SRR8615262",62,"RNA-Seq","GCA_000001405.13",202,15646113818,"DSMZ:OCI-M1","PRJNA523380","SAMN10989554","Human",7839582387,"OCI-M1","BROAD INSTITUTE","public","bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","haematopoietic_neoplasm (acute_myeloid_leukaemia\, M6)","primary","Caucasian","SRX5414491","Illumina HiSeq 2500","cell line","RNASeq-OCIM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","PAIRED","cDNA","TRANSCRIPTOMIC","Homo sapiens","ILLUMINA","2019-03-27T00:00:00Z","OCIM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","cell culture",NA,"SRP186687","haematopoietic_and_lymphoid_tissue"
"225","SRR8615264",45,"RNA-Seq","GCA_000001405.13",202,16384377560,"DSMZ:CAL-51","PRJNA523380","SAMN10988576","Human",8714690439,"CAL-51","BROAD INSTITUTE","public","bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","carcinoma","metastasis","Caucasian","SRX5414489","Illumina HiSeq 2500","cell line","RNASeq-CAL51_BREAST","PAIRED","cDNA","TRANSCRIPTOMIC","Homo sapiens","ILLUMINA","2019-03-27T00:00:00Z","CAL51_BREAST","cell culture","female","SRP186687","breast"
"226","SRR8615265",69,"RNA-Seq","GCA_000001405.13",202,26010077520,"DSMZ:CAL-33","PRJNA523380","SAMN10988048","Human",14626618790,"CAL-33","BROAD INSTITUTE","public","bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","carcinoma (squamous_cell_carcinoma)","primary","Caucasian","SRX5414488","Illumina HiSeq 2500","cell line","RNASeq-CAL33_UPPER_AERODIGESTIVE_TRACT","PAIRED","cDNA","TRANSCRIPTOMIC","Homo sapiens","ILLUMINA","2019-03-27T00:00:00Z","CAL33_UPPER_AERODIGESTIVE_TRACT","cell culture","male","SRP186687","upper_aerodigestive_tract"
"227","SRR8615266",80,"RNA-Seq","GCA_000001405.13",202,22686728474,"DSMZ:CAL-29","PRJNA523380","SAMN10988514","Human",12678947866,"CAL-29","BROAD INSTITUTE","public","bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","carcinoma (transitional_cell_carcinoma)","primary","Caucasian","SRX5414487","Illumina HiSeq 2500","cell line","RNASeq-CAL29_URINARY_TRACT","PAIRED","cDNA","TRANSCRIPTOMIC","Homo sapiens","ILLUMINA","2019-03-27T00:00:00Z","CAL29_URINARY_TRACT","cell culture","female","SRP186687","urinary_tract"
"228","SRR8615267",56,"RNA-Seq","GCA_000001405.13",202,16493620978,"NIBRI","PRJNA523380","SAMN10987905","Human",8208570635,"CAL 27","BROAD INSTITUTE","public","bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","carcinoma (squamous_cell_carcinoma)","primary","Caucasian","SRX5414486","Illumina HiSeq 2500","cell line","RNASeq-CAL27_UPPER_AERODIGESTIVE_TRACT","PAIRED","cDNA","TRANSCRIPTOMIC","Homo sapiens","ILLUMINA","2019-03-27T00:00:00Z","CAL27_UPPER_AERODIGESTIVE_TRACT","cell culture","male","SRP186687","upper_aerodigestive_tract"
"229","SRR8615268",58,"RNA-Seq","GCA_000001405.13",202,28459504472,"DSMZ:CAL-148","PRJNA523380","SAMN10988460","Human",15918290584,"CAL-148","BROAD INSTITUTE","public","bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","carcinoma (ductal_carcinoma)","metastasis","Caucasian","SRX5414485","Illumina HiSeq 2500","cell line","RNASeq-CAL148_BREAST","PAIRED","cDNA","TRANSCRIPTOMIC","Homo sapiens","ILLUMINA","2019-03-27T00:00:00Z","CAL148_BREAST","cell culture","female","SRP186687","breast"
"230","SRR8615269",NA,"RNA-Seq","GCA_000001405.13",202,18197054658,"GNF","PRJNA523380","SAMN10987846","Human",10207438571,"CAL-12T","BROAD INSTITUTE","public","bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","carcinoma (non_small_cell_carcinoma)","primary","Caucasian","SRX5414484","Illumina HiSeq 2500","cell line","RNASeq-CAL12T_LUNG","PAIRED","cDNA","TRANSCRIPTOMIC","Homo sapiens","ILLUMINA","2019-03-27T00:00:00Z","CAL12T_LUNG","cell culture","male","SRP186687","lung"
"231","SRR8615270",43,"RNA-Seq","GCA_000001405.13",202,16226625054,"DSMZ:CAL-120","PRJNA523380","SAMN10989564","Human",8614683525,"CAL-120","BROAD INSTITUTE","public","bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","carcinoma","metastasis","Caucasian","SRX5414483","Illumina HiSeq 2500","cell line","RNASeq-CAL120_BREAST","PAIRED","cDNA","TRANSCRIPTOMIC","Homo sapiens","ILLUMINA","2019-03-27T00:00:00Z","CAL120_BREAST","cell culture","female","SRP186687","breast"
