"","X","filename","dir","alias","center_name","accession","broker_name","Cell_line","Tissue_supergroup","Metastatic_Tissue","Primary_Tissue","Tissue_Diagnosis","Age","Age_Unit","Gender","Ethnicity","Growth_Media","Freeze_Media","ENA.CHECKLIST","cellid","batchid"
"EGAN00001187758","EGAN00001187758.sample.xml","EGAN00001187758.sample.xml","EGAD00001000725","587722","GENENTECH","ERS395199","EGA","928 mel","Skin",NA,"Skin","Melanoma",NA,NA,NA,NA,"""DMEM, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","928 mel",NA
"EGAN00001187759","EGAN00001187759.sample.xml","EGAN00001187759.sample.xml","EGAD00001000725","636201","GENENTECH","ERS395200","EGA","A-375","Skin",NA,"Skin","Melanoma",NA,NA,"Female",NA,"""RPMI-1640 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","A375",NA
"EGAN00001187760","EGAN00001187760.sample.xml","EGAN00001187760.sample.xml","EGAD00001000725","587523","GENENTECH","ERS395201","EGA","A-427","Lung",NA,"Lung","Carcinoma","52","Years","Male","Caucasian","""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","A427",NA
"EGAN00001187761","EGAN00001187761.sample.xml","EGAN00001187761.sample.xml","EGAD00001000725","636086","GENENTECH","ERS395202","EGA","A-431","Skin",NA,"Skin","Carcinoma Squamous Cell","85","Years","Female",NA,"""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","A431",NA
"EGAN00001187762","EGAN00001187762.sample.xml","EGAN00001187762.sample.xml","EGAD00001000725","639179","GENENTECH","ERS395203","EGA","A-498","Kidney",NA,"Kidney","Carcinoma","52",NA,"Female",NA,"""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","A498",NA
"EGAN00001187763","EGAN00001187763.sample.xml","EGAN00001187763.sample.xml","EGAD00001000725","636052","GENENTECH","ERS395204","EGA","A-673","Sarcomatiod",NA,"Skeletal Muscle","Rhabdomyosarcoma","15","Years","Female",NA,"""RPMI-1640 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","A673",NA
"EGAN00001187764","EGAN00001187764.sample.xml","EGAN00001187764.sample.xml","EGAD00001000725","636120","GENENTECH","ERS395205","EGA","A172","Brain",NA,"Brain","Glioblastoma",NA,NA,"Male",NA,"""DMEM, 10% FBS, 2mM L-Glutamine""","90% FBS; 10% DMSO","ERC000026","A172",NA
"EGAN00001187765","EGAN00001187765.sample.xml","EGAN00001187765.sample.xml","EGAD00001000725","587724","GENENTECH","ERS395206","EGA","A2058","Skin",NA,"Skin","Melanoma","43","Years","Male","Caucasian","""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","A2058",NA
"EGAN00001187766","EGAN00001187766.sample.xml","EGAN00001187766.sample.xml","EGAD00001000725","586986","GENENTECH","ERS395207","EGA","A2780","Ovary",NA,"Ovary","Carcinoma",NA,NA,"Female",NA,"""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""Complete Growth Media, 90%; DMSO, 10%""","ERC000026","A2780",NA
"EGAN00001187767","EGAN00001187767.sample.xml","EGAN00001187767.sample.xml","EGAD00001000725","587602","GENENTECH","ERS395208","EGA","A3/KAW","Lymphoid",NA,"Blood","Lymphoma",NA,NA,NA,NA,"""RPMI-1640, 10% HI FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","A3-KAW",NA
"EGAN00001187768","EGAN00001187768.sample.xml","EGAN00001187768.sample.xml","EGAD00001000725","587603","GENENTECH","ERS395209","EGA","A4/Fuk","Lymphoid",NA,"Blood","Lymphoma Non-Hodgkins",NA,NA,NA,NA,"""RPMI-1640, 10% HI FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","A4-Fuk",NA
"EGAN00001187769","EGAN00001187769.sample.xml","EGAN00001187769.sample.xml","EGAD00001000725","635619","GENENTECH","ERS395210","EGA","A549","Lung",NA,"Lung","Carcinoma","58","Years","Male","Caucasian","""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","A549",NA
"EGAN00001187770","EGAN00001187770.sample.xml","EGAN00001187770.sample.xml","EGAD00001000725","635620","GENENTECH","ERS395211","EGA","ABC-1","Lung",NA,"Lung","Adenocarcinoma",NA,NA,NA,NA,"""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","ABC-1",NA
"EGAN00001187771","EGAN00001187771.sample.xml","EGAN00001187771.sample.xml","EGAD00001000725","636817","GENENTECH","ERS395212","EGA","ACHN","Kidney",NA,"Kidney","Adenocarcinoma","22","Years","Male","Caucasian","""EMEM, 10% FBS, 2mM L-Glutamine, 100mM HEPES""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","ACHN",NA
"EGAN00001187772","EGAN00001187772.sample.xml","EGAN00001187772.sample.xml","EGAD00001000725","587005","GENENTECH","ERS395213","EGA","AGS","Stomach",NA,"Stomach","Adenocarcinoma",NA,NA,NA,NA,"""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","AGS",NA
"EGAN00001187773","EGAN00001187773.sample.xml","EGAN00001187773.sample.xml","EGAD00001000725","635599","GENENTECH","ERS395214","EGA","AMO-1","Lymphoid",NA,"Blood","Plasmacytoma",NA,NA,NA,NA,"""RPMI-1640, 10% Heat inactivated FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","AMO-1",NA
"EGAN00001187774","EGAN00001187774.sample.xml","EGAN00001187774.sample.xml","EGAD00001000725","636746","GENENTECH","ERS395215","EGA","AN3 CA","Uterus",NA,"Uterus","Adenocarcinoma","55","Years","Female","Caucasian","""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","AN3-CA",NA
"EGAN00001187775","EGAN00001187775.sample.xml","EGAN00001187775.sample.xml","EGAD00001000725","587689","GENENTECH","ERS395216","EGA","AsPC-1","Pancreas",NA,"Pancreas","Adenocarcinoma","62","Years","Female","Caucasian","""RPMI-1640, 10% FBS, 2mM L-Glutamine""","90% Complete Growth Media; 10% DMSO","ERC000026","AsPC-1",NA
"EGAN00001187776","EGAN00001187776.sample.xml","EGAN00001187776.sample.xml","EGAD00001000725","636441","GENENTECH","ERS395217","EGA","ATRFLOX","Colo-Rectal",NA,"Colon","Carcinoma",NA,NA,"Male",NA,"""McCoys 5A, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","ATRFLOX",NA
"EGAN00001187777","EGAN00001187777.sample.xml","EGAN00001187777.sample.xml","EGAD00001000725","637174","GENENTECH","ERS395218","EGA","BEN","Lung",NA,"Lung","Carcinoma","71","Years","Male",NA,"""DMEM, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","BEN",NA
"EGAN00001187778","EGAN00001187778.sample.xml","EGAN00001187778.sample.xml","EGAD00001000725","636099","GENENTECH","ERS395219","EGA","BFTC-905","Urinary Bladder",NA,"Urinary Bladder","Carcinoma Transitional Cell","51","Years","Female","Chinese","""RPMI-1640 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","BFTC-905",NA
"EGAN00001187779","EGAN00001187779.sample.xml","EGAN00001187779.sample.xml","EGAD00001000725","636131","GENENTECH","ERS395220","EGA","BFTC-909","Kidney",NA,"Kidney","Carcinoma Transitional Cell","64","Years","Male",NA,"""DMEM, 10% FBS, 2mM L-Gln""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","BFTC-909",NA
"EGAN00001187780","EGAN00001187780.sample.xml","EGAN00001187780.sample.xml","EGAD00001000725","636129","GENENTECH","ERS395221","EGA","BHY","Head-Neck",NA,"Oral Cavity","Carcinoma Squamous Cell",NA,NA,NA,NA,"""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","BHY",NA
"EGAN00001187781","EGAN00001187781.sample.xml","EGAN00001187781.sample.xml","EGAD00001000725","636053","GENENTECH","ERS395222","EGA","BICR 10","Head-Neck",NA,"Oral Cavity","Carcinoma Squamous Cell",NA,NA,NA,NA,"""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","BICR 10",NA
"EGAN00001187782","EGAN00001187782.sample.xml","EGAN00001187782.sample.xml","EGAD00001000725","636148","GENENTECH","ERS395223","EGA","BICR 22","Head-Neck",NA,"Tongue","Carcinoma Squamous Cell",NA,NA,NA,NA,"""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","BICR 22",NA
"EGAN00001187783","EGAN00001187783.sample.xml","EGAN00001187783.sample.xml","EGAD00001000725","636104","GENENTECH","ERS395224","EGA","BICR 31","Head-Neck",NA,"Tongue","Carcinoma Squamous Cell",NA,NA,NA,NA,"""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","BICR 31",NA
"EGAN00001187784","EGAN00001187784.sample.xml","EGAN00001187784.sample.xml","EGAD00001000725","636814","GENENTECH","ERS395225","EGA","BICR 78","Head-Neck",NA,"Oral Cavity","Carcinoma Squamous Cell",NA,NA,NA,NA,"""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","BICR 78",NA
"EGAN00001187785","EGAN00001187785.sample.xml","EGAN00001187785.sample.xml","EGAD00001000725","587604","GENENTECH","ERS395226","EGA","BJAB","Lymphoid",NA,"Lymph Node","Lymphoma B-cell",NA,NA,NA,NA,"""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""RPMI-1640, 20% HI FBS, 10% DMSO""","ERC000026","BJAB",NA
"EGAN00001187786","EGAN00001187786.sample.xml","EGAN00001187786.sample.xml","EGAD00001000725","587433","GENENTECH","ERS395227","EGA","BT-20","Breast",NA,"Breast","Carcinoma","74","Years","Female","Caucasian","""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","BT-20",NA
"EGAN00001187787","EGAN00001187787.sample.xml","EGAN00001187787.sample.xml","EGAD00001000725","587434","GENENTECH","ERS395228","EGA","BT-474","Breast","Soft Tissue","Breast","Adenocarcinoma Ductal","60","Years","Female","Caucasian","""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","BT-474",NA
"EGAN00001187788","EGAN00001187788.sample.xml","EGAN00001187788.sample.xml","EGAD00001000725","587436","GENENTECH","ERS395229","EGA","BT-483","Breast",NA,"Breast","Adenocarcinoma Ductal","23","Years","Female","Caucasian","""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","BT-483",NA
"EGAN00001187789","EGAN00001187789.sample.xml","EGAN00001187789.sample.xml","EGAD00001000725","587437","GENENTECH","ERS395230","EGA","BT-549","Breast",NA,"Breast","Adenocarcinoma Ductal","72","Years","Female","Caucasian","""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","BT-549",NA
"EGAN00001187790","EGAN00001187790.sample.xml","EGAN00001187790.sample.xml","EGAD00001000725","635998","GENENTECH","ERS395231","EGA","BxPC-3","Pancreas",NA,"Pancreas","Adenocarcinoma","61","Years","Female",NA,"""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","BxPC-3",NA
"EGAN00001187791","EGAN00001187791.sample.xml","EGAN00001187791.sample.xml","EGAD00001000725","636821","GENENTECH","ERS395232","EGA","C-33 A","Cervix",NA,"Cervix","Carcinoma",NA,NA,NA,NA,"""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","C-33-A",NA
"EGAN00001187792","EGAN00001187792.sample.xml","EGAN00001187792.sample.xml","EGAD00001000725","587484","GENENTECH","ERS395233","EGA","C170","Colo-Rectal",NA,"Colon","Carcinoma",NA,NA,NA,NA,"""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","C170",NA
"EGAN00001187793","EGAN00001187793.sample.xml","EGAN00001187793.sample.xml","EGAD00001000725","636799","GENENTECH","ERS395234","EGA","C2BBe1","Colo-Rectal",NA,"Colon","Adenocarcinoma","72","Years","Male","Caucasian","DMEM; 10% FBS; 2mM L-Glutamine","90% FBS; 10% DMSO","ERC000026","C2BBe1",NA
"EGAN00001187794","EGAN00001187794.sample.xml","EGAN00001187794.sample.xml","EGAD00001000725","587730","GENENTECH","ERS395235","EGA","C32","Skin",NA,"Skin","Melanoma","53","Years","Male","Caucasian","""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","C32",NA
"EGAN00001187795","EGAN00001187795.sample.xml","EGAN00001187795.sample.xml","EGAD00001000725","636815","GENENTECH","ERS395236","EGA","C32TG","Skin",NA,"Skin","Melanoma","53","Years","Male","Caucasian","""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","C32TG",NA
"EGAN00001187796","EGAN00001187796.sample.xml","EGAN00001187796.sample.xml","EGAD00001000725","636863","GENENTECH","ERS395237","EGA","C3A","Liver",NA,"Liver","Carcinoma",NA,NA,NA,NA,"#N/A","#N/A","ERC000026","C3A",NA
"EGAN00001187797","EGAN00001187797.sample.xml","EGAN00001187797.sample.xml","EGAD00001000725","636040","GENENTECH","ERS395238","EGA","Ca Ski","Cervix",NA,"Cervix","Carcinoma",NA,NA,NA,NA,"""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","Ca-Ski",NA
"EGAN00001187798","EGAN00001187798.sample.xml","EGAN00001187798.sample.xml","EGAD00001000725","587605","GENENTECH","ERS395239","EGA","CA46","Lymphoid",NA,"Blood","Malignant Lymphoma - Burkitts Type",NA,NA,"Male",NA,"""RPMI-1640, 10% HI FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","CA46",NA
"EGAN00001187799","EGAN00001187799.sample.xml","EGAN00001187799.sample.xml","EGAD00001000725","587485","GENENTECH","ERS395240","EGA","Caco-2","Colo-Rectal",NA,"Colon","Adenocarcinoma",NA,NA,NA,NA,"""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","Caco-2",NA
"EGAN00001187800","EGAN00001187800.sample.xml","EGAN00001187800.sample.xml","EGAD00001000725","636152","GENENTECH","ERS395241","EGA","Caki-1","Kidney",NA,"Kidney","Adenocarcinoma Clear Cell","49","Years","Male","Caucasian","""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","CAKI-1",NA
"EGAN00001187801","EGAN00001187801.sample.xml","EGAN00001187801.sample.xml","EGAD00001000725","636058","GENENTECH","ERS395242","EGA","Caki-2","Kidney",NA,"Kidney","Carcinoma","69","Years","Male","Caucasian","""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""FBS, 90%; DMSO, 10%""","ERC000026","Caki-2",NA
"EGAN00001187802","EGAN00001187802.sample.xml","EGAN00001187802.sample.xml","EGAD00001000725","636096","GENENTECH","ERS395243","EGA","CAL 27","Head-Neck",NA,"Tongue","Carcinoma Squamous Cell","56","Years","Male","Caucasian","""RPMI-1640 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","CAL-27",NA
"EGAN00001187803","EGAN00001187803.sample.xml","EGAN00001187803.sample.xml","EGAD00001000725","636153","GENENTECH","ERS395244","EGA","CAL 54","Kidney",NA,"Kidney","Carcinoma",NA,NA,NA,NA,"""DMEM, 10% FBS, 2mM L-Glutamine, 100mM HEPES""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","CAL-54",NA
"EGAN00001187804","EGAN00001187804.sample.xml","EGAN00001187804.sample.xml","EGAD00001000725","587438","GENENTECH","ERS395245","EGA","CAL-120","Breast","""Effusion, Pleural""","Breast","Adenocarcinoma","43","Years","Female",NA,"""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","CAL-120",NA
"EGAN00001187805","EGAN00001187805.sample.xml","EGAN00001187805.sample.xml","EGAD00001000725","636791","GENENTECH","ERS395246","EGA","CAL-12T","Lung",NA,"Lung","Carcinoma Non-Small Cell",NA,NA,"Male",NA,"""DMEM, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","CAL-12T",NA
"EGAN00001187806","EGAN00001187806.sample.xml","EGAN00001187806.sample.xml","EGAD00001000725","587439","GENENTECH","ERS395247","EGA","CAL-148","Breast","""Effusion, Pleural""","Breast","Adenocarcinoma","58","Years","Female",NA,"""RPMI-1640, 10% FBS, 10ng/ml EGF, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","CAL-148",NA
"EGAN00001187807","EGAN00001187807.sample.xml","EGAN00001187807.sample.xml","EGAD00001000725","587441","GENENTECH","ERS395248","EGA","CAL-85-1","Breast",NA,"Breast","Adenocarcinoma","35","Years","Female",NA,"""DMEM, 10% FBS, 2mM L-glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","CAL-85-1",NA
"EGAN00001187808","EGAN00001187808.sample.xml","EGAN00001187808.sample.xml","EGAD00001000725","635981","GENENTECH","ERS395249","EGA","CAL51","Breast","""Effusion, Pleural""","Breast","Adenocarcinoma","45","Years","Female",NA,"""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","CAL-51",NA
"EGAN00001187809","EGAN00001187809.sample.xml","EGAN00001187809.sample.xml","EGAD00001000725","639228","GENENTECH","ERS395250","EGA","Calu-1","Lung",NA,"Lung","Carcinoma","47","Years","Female","Caucasian","""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","Calu-1",NA
"EGAN00001187810","EGAN00001187810.sample.xml","EGAN00001187810.sample.xml","EGAD00001000725","587527","GENENTECH","ERS395251","EGA","Calu-3","Lung",NA,"Lung","Adenocarcinoma","25","Years","Male","Caucasian","""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","Calu-3",NA
"EGAN00001187811","EGAN00001187811.sample.xml","EGAN00001187811.sample.xml","EGAD00001000725","587528","GENENTECH","ERS395252","EGA","Calu-6","Lung",NA,"Lung","Carcinoma Anaplastic","61","Years","Female","Caucasian","""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","Calu-6",NA
"EGAN00001187812","EGAN00001187812.sample.xml","EGAN00001187812.sample.xml","EGAD00001000725","587442","GENENTECH","ERS395253","EGA","CAMA-1","Breast",NA,"Breast","Adenocarcinoma","51","Years","Female","Caucasian","""DMEM, 10% FBS, 2mM L-Glutamine""","""Complete Growth media, 10% DMSO""","ERC000026","CAMA-1",NA
"EGAN00001187813","EGAN00001187813.sample.xml","EGAN00001187813.sample.xml","EGAD00001000725","587667","GENENTECH","ERS395254","EGA","Caov-3","Ovary",NA,"Ovary","Adenocarcinoma","54","Years","Female","Caucasian","""DMEM, 10% FBS, 2mM L-Glutamine""","""FBS, 90%; DMSO, 10%""","ERC000026","Caov-3",NA
"EGAN00001187814","EGAN00001187814.sample.xml","EGAN00001187814.sample.xml","EGAD00001000725","587691","GENENTECH","ERS395255","EGA","Capan-1","Pancreas",NA,"Pancreas","Adenocarcinoma","40","Years","Male","Caucasian","""RPMI-1640, 10% FBS, 2mM L-Glutamine""","90% FBS; 10% DMSO","ERC000026","CAPAN-1",NA
"EGAN00001187815","EGAN00001187815.sample.xml","EGAN00001187815.sample.xml","EGAD00001000725","587692","GENENTECH","ERS395256","EGA","Capan-2","Pancreas",NA,"Pancreas","Adenocarcinoma","56","Years","Male","Caucasian","""RPMI-1640, 10% FBS, 2mM L-Glutamine""","90% FBS; 10% DMSO","ERC000026","Capan-2",NA
"EGAN00001187816","EGAN00001187816.sample.xml","EGAN00001187816.sample.xml","EGAD00001000725","639164","GENENTECH","ERS395257","EGA","CaR-1","Colo-Rectal",NA,"Colon","Adenocarcinoma",NA,NA,NA,NA,"""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","CaR-1",NA
"EGAN00001187817","EGAN00001187817.sample.xml","EGAN00001187817.sample.xml","EGAD00001000725","639188","GENENTECH","ERS395258","EGA","CCRF-SB","Lymphoid",NA,"Blood","Leukemia",NA,NA,NA,NA,"""RPMI-1640, 10% HI FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","CCRF-SB",NA
"EGAN00001187818","EGAN00001187818.sample.xml","EGAN00001187818.sample.xml","EGAD00001000725","587693","GENENTECH","ERS395259","EGA","CFPAC-1","Pancreas",NA,"Pancreas","Adenocarcinoma Ductal",NA,NA,"Male","Caucasian","""RPMI-1640, 10% FBS, 2mM L-Glutamine""","90% FBS; 10% DMSO","ERC000026","CFPAC-1",NA
"EGAN00001187819","EGAN00001187819.sample.xml","EGAN00001187819.sample.xml","EGAD00001000725","636134","GENENTECH","ERS395260","EGA","ChaGo-K-1","Lung",NA,"Lung","Carcinoma","45","Years","Male",NA,"""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","ChaGo-K-1",NA
"EGAN00001187820","EGAN00001187820.sample.xml","EGAN00001187820.sample.xml","EGAD00001000725","587804","GENENTECH","ERS395261","EGA","CHL-1","Skin",NA,"Skin","Melanoma",NA,NA,NA,NA,"""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","CHL-1",NA
"EGAN00001187821","EGAN00001187821.sample.xml","EGAN00001187821.sample.xml","EGAD00001000725","636018","GENENTECH","ERS395262","EGA","CHP-212","Brain",NA,"Brain","Neuroblastoma",NA,NA,NA,NA,"""RPMI-1640 10% FBS, 2mM L-Gln""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","CHP-212",NA
"EGAN00001187822","EGAN00001187822.sample.xml","EGAN00001187822.sample.xml","EGAD00001000725","587606","GENENTECH","ERS395263","EGA","CI-1","Lymphoid",NA,"Lymph Node","Lymphoma Non-Hodgkins","38","Years","Female",NA,"""RPMI-1640, 20% HI FBS, 2mM Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","CI-1",NA
"EGAN00001187823","EGAN00001187823.sample.xml","EGAN00001187823.sample.xml","EGAD00001000725","587486","GENENTECH","ERS395264","EGA","CL-11","Colo-Rectal",NA,"Colon","Carcinoma",NA,NA,NA,NA,"""RPMI-1640 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","CL-11",NA
"EGAN00001187824","EGAN00001187824.sample.xml","EGAN00001187824.sample.xml","EGAD00001000725","587487","GENENTECH","ERS395265","EGA","CL-34","Colo-Rectal",NA,"Colon","Adenocarcinoma",NA,NA,"Female",NA,"""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""90% FBS, 10% DMSO""","ERC000026","CL-34",NA
