,BHKLAB.DRUGID,SMILES,INCHIKEY,PUBCHEM CID,DATABASE ID,MOLECULE_NAME,TARGET_NAME,DATABASE
74,1-Phenylbiguanide,NC(=N)NC(=N)Nc1ccccc1,CUQCMXFWIMOWRP-UHFFFAOYSA-N,4780,NA,1-phenylbiguanide,HTR3B,CLUE.IO
75,1-Phenylphosphinane 1-oxide,C1CCP(=O)(CC1)C2=CC=CC=C2,IDMWCMSMIDBTLE-UHFFFAOYSA-N,357423,NA,NA,NA,NA
76,1-Piperidinecarbothialdehyde,C1CCN(CC1)C=S,HXYGTCQCDHEVBB-UHFFFAOYSA-N,355711,NA,NA,NA,NA
77,1-Propanesulfonic acid,CCCS(=O)(=O)O,KCXFHTAICRTXLI-UHFFFAOYSA-N,78938,NA,NA,NA,NA
78,1-Pyrenylmethylene diacetate,CC(=O)OC(C1=C2C=CC3=CC=CC4=C3C2=C(C=C4)C=C1)OC(=O)C,BNKITCXZLUHIAB-UHFFFAOYSA-N,380625,NA,NA,NA,NA
79,"1S,3R-RSL-3",NA,NA,NA,BRD-K23853216,"1S,3R-RSL-3",GPX4,CTRPv2
80,1-Tetradecanamine,CCCCCCCCCCCCCCN,PLZVEHJLHYMBBY-UHFFFAOYSA-N,16217,NA,NA,NA,NA
81,"2,2'-Bioxirane",C1C(O1)C2CO2,ZFIVKAOQEXOYFY-UHFFFAOYSA-N,11254,NA,NA,NA,NA
82,"2,3,4,4'-Tetramethoxybiphenyl",COC1=CC=C(C=C1)C2=C(C(=C(C=C2)OC)OC)OC,TZYDMNYEWNWIMB-UHFFFAOYSA-N,165441,NA,NA,NA,NA
83,"2,3,4,5-Furantetracarboxylic acid",C1(=C(OC(=C1C(=O)O)C(=O)O)C(=O)O)C(=O)O,IREPGQRTQFRMQR-UHFFFAOYSA-N,237617,NA,NA,NA,NA
84,"2,3,4,5-Tetrahydroxypentanehydrazide",C(C(C(C(C(=O)NN)O)O)O)O,GQRGREOAXWDDQQ-UHFFFAOYSA-N,243316,NA,NA,NA,NA
85,"2,3,4,5-Tetramethoxybenzamide",COC1=C(C(=C(C(=C1)C(=O)N)OC)OC)OC,ORMFJRSZBIHCFJ-UHFFFAOYSA-N,359189,NA,NA,NA,NA
86,"2,3,5,6-Tetrafluorobenzenethiol",C1=C(C(=C(C(=C1F)F)S)F)F,IGOGJHYWSOZGAE-UHFFFAOYSA-N,69859,NA,NA,NA,NA
87,"2,3-Dibromopropanamide",C(C(C(=O)N)Br)Br,DZQCMQRQFZXQKN-UHFFFAOYSA-N,85798,NA,NA,NA,NA
88,"2,3-Dibromosuccinic acid",C(C(C(=O)O)Br)(C(=O)O)Br,FJWGRXKOBIVTFA-UHFFFAOYSA-N,95324,NA,NA,NA,NA
89,"2,3-Dihydroxypropyl diethylarsinothioite",CC[As](CC)SCC(CO)O,NTRDIXNRWQASAZ-UHFFFAOYSA-N,406476,NA,NA,NA,NA
90,"2,3-Dihydroxypropyl dipropylarsinothioite",CCC[As](CCC)SCC(CO)O,PITSAYCDYJYBJS-UHFFFAOYSA-N,406477,NA,NA,NA,NA
91,"2,3-Dihydroxypropyl laurate",CCCCCCCCCCCC(=O)OCC(CO)O,ARIWANIATODDMH-UHFFFAOYSA-N,14871,NA,NA,NA,NA
92,"2,3-Diphosphonosuccinic acid",C(C(C(=O)O)P(=O)(O)O)(C(=O)O)P(=O)(O)O,SQCGCSDAPBUORZ-UHFFFAOYSA-N,384666,NA,NA,NA,NA
93,"2,3-Pyrazinedicarboxylic acid",C1=CN=C(C(=N1)C(=O)O)C(=O)O,ZUCRGHABDDWQPY-UHFFFAOYSA-N,66628,NA,NA,NA,NA
94,"2,4,5,7,9-Pentathiadecane 2,2,9,9-tetraoxide",CS(=O)(=O)CSCSSCS(=O)(=O)C,QIPXXEUDYHUIPF-UHFFFAOYSA-N,373382,NA,NA,NA,NA
95,"2,4,5-Trichloropyrimidine",C1=C(C(=NC(=N1)Cl)Cl)Cl,GIKMWFAAEIACRF-UHFFFAOYSA-N,237259,NA,NA,NA,NA
96,"2,4,6,8-DECATETRAENOIC ACID",CC=CC=CC=CC=CC(=O)O,XJMGDZBZBKBSLJ-GAXCVXDLSA-N,5702796,NA,NA,NA,NA
97,"2,4,6-Pyridinetricarboxylic acid",C1=C(C=C(N=C1C(=O)O)C(=O)O)C(=O)O,CHGYKYXGIWNSCD-UHFFFAOYSA-N,345552,NA,NA,NA,NA
98,"2,4,6-Triisopropylbenzenesulfonohydrazide",CC(C)C1=CC(=C(C(=C1)C(C)C)S(=O)(=O)NN)C(C)C,UGRVYFQFDZRNMQ-UHFFFAOYSA-N,359333,NA,NA,NA,NA
99,"2,4,6-Triisopropylbenzenesulfonyl azide",CC(C)C1=CC(=C(C(=C1)C(C)C)S(=O)(=O)N=[N+]=[N-])C(C)C,AEMWUHCKKDPRSK-UHFFFAOYSA-N,371707,NA,NA,NA,NA
100,"2,4-Dinitrophenyl 4-methylbenzenesulfonate",CC1=CC=C(C=C1)S(=O)(=O)OC2=C(C=C(C=C2)[N+](=O)[O-])[N+](=O)[O-],NQXDAKVRYHXNPE-UHFFFAOYSA-N,230690,NA,NA,NA,NA
101,"2,4-Dinitrophenyl dimethylcarbamodithioate",CN(C)C(=S)SC1=C(C=C(C=C1)[N+](=O)[O-])[N+](=O)[O-],AIWZJEMZVHJAQB-UHFFFAOYSA-N,6967,NA,NA,NA,NA
102,"2,4-Imidazolidinedione",C1C(=O)NC(=O)N1,WJRBRSLFGCUECM-UHFFFAOYSA-N,10006,NA,NA,NA,NA
103,"2,5-Piperazinedithione",C1C(=S)NCC(=S)N1,WZZNXLLUTNONRL-UHFFFAOYSA-N,3004056,NA,NA,NA,NA
104,"2,5-Thienediyldimethanethiol",C1=C(SC(=C1)CS)CS,DHHJQXAJIIVBES-UHFFFAOYSA-N,373744,NA,NA,NA,NA
105,"2,6-dimethylpiperidine",C[C@H]1CCC[C@@H](C)N1,SDGKUVSVPIIUCF-UHFFFAOYSA-N,68843,NA,NA,NA,NA
106,2-Aminobenzenesulfonamide,Nc1ccccc1S(=O)(=O)N,YAZSBRQTAHVVGE-UHFFFAOYSA-N,72894,NA,2-aminobenzenesulfonamide,CA12,CLUE.IO
107,2-Aminobenzenesulfonamide,Nc1ccccc1S(=O)(=O)N,YAZSBRQTAHVVGE-UHFFFAOYSA-N,72894,NA,2-aminobenzenesulfonamide,CA2,CLUE.IO
108,2-Aminobenzenesulfonamide,Nc1ccccc1S(=O)(=O)N,YAZSBRQTAHVVGE-UHFFFAOYSA-N,72894,NA,2-aminobenzenesulfonamide,CA14,CLUE.IO
109,2-Aminobenzenesulfonamide,Nc1ccccc1S(=O)(=O)N,YAZSBRQTAHVVGE-UHFFFAOYSA-N,72894,NA,2-aminobenzenesulfonamide,CA6,CLUE.IO
110,2-Aminobenzenesulfonamide,Nc1ccccc1S(=O)(=O)N,YAZSBRQTAHVVGE-UHFFFAOYSA-N,72894,NA,2-aminobenzenesulfonamide,CA9,CLUE.IO
111,2-Aminoethanesulfonic acid,C(CS(=O)(=O)O)N,XOAAWQZATWQOTB-UHFFFAOYSA-N,1123,NA,NA,NA,NA
112,2-Azidoacetamide,C(C(=O)N)N=[N+]=[N-],WOEYOUBBHRYDLG-UHFFFAOYSA-N,3246223,NA,NA,NA,NA
113,2-Azidoadamantane,C1C2CC3CC1CC(C2)C3N=[N+]=[N-],DBMHNOXGUUDEPE-UHFFFAOYSA-N,357115,NA,NA,NA,NA
114,"2-Benzothiazoleacetic acid, ethyl ester",CCOC(=O)CC1=NC2=CC=CC=C2S1,VYMJUZXFYAREJY-UHFFFAOYSA-N,359796,NA,NA,NA,NA
115,2-Benzylsuccinic acid,C1=CC=C(C=C1)CC(CC(=O)O)C(=O)O,GTOFKXZQQDSVFH-UHFFFAOYSA-N,3858,NA,NA,NA,NA
116,2-Biphenylyl 4-methylbenzenesulfonate,CC1=CC=C(C=C1)S(=O)(=O)OC2=CC=CC=C2C3=CC=CC=C3,BHGWQZFJVFVCCQ-UHFFFAOYSA-N,262324,NA,NA,NA,NA
117,2-bromopyruvate,C(C(=O)C(=O)[O-])Br,PRRZDZJYSJLDBS-UHFFFAOYSA-M,6994776,NA,NA,NA,NA
118,2-Butenedioic acid,[H+].[H+].C(=CC(=O)[O-])C(=O)[O-],VZCYOOQTPOCHFL-OWOJBTEDSA-N,21883788,NA,NA,NA,NA
119,2-Butynediamide,C(#CC(=O)N)C(=O)N,JBTGHKUTYAMZEZ-UHFFFAOYSA-N,10971,NA,NA,NA,NA
120,2C4,NA,NA,NA,NA,NA,NA,NA
121,2-Chloropyrazine,Clc1cnccn1,GELVZYOEQVJIRR-UHFFFAOYSA-N,73277,NA,NA,NA,NA
122,2-Cyanoethyl 2-iminocyclopentanecarbodithioate,C1CC(C(=N)C1)C(=S)SCCC#N,BXYQFEVQIURBAI-UHFFFAOYSA-N,327580,NA,NA,NA,NA
123,2-Cyclohexylphenyl 1-naphthylcarbamate,C1CCC(CC1)C2=CC=CC=C2OC(=O)NC3=CC=CC4=CC=CC=C43,KNNNLPBMBXPXKW-UHFFFAOYSA-N,361277,NA,NA,NA,NA
124,2-Cyclohexylphenyl phenylcarbamate,C1CCC(CC1)C2=CC=CC=C2OC(=O)NC3=CC=CC=C3,HCFJXSRBRJQJCJ-UHFFFAOYSA-N,361278,NA,NA,NA,NA
125,2-deoxyglucose,C(C=O)C(C(C(CO)O)O)O,VRYALKFFQXWPIH-PBXRRBTRSA-N,108223,NA,2-deoxyglucose,SLC2A4,CLUE.IO
126,2-deoxyglucose,C(C=O)C(C(C(CO)O)O)O,VRYALKFFQXWPIH-PBXRRBTRSA-N,108223,NA,2-deoxyglucose,SLC2A3,CLUE.IO
127,2-deoxyglucose,C(C=O)C(C(C(CO)O)O)O,VRYALKFFQXWPIH-PBXRRBTRSA-N,108223,NA,2-deoxyglucose,SLC2A2,CLUE.IO
128,2-deoxyglucose,C(C=O)C(C(C(CO)O)O)O,VRYALKFFQXWPIH-PBXRRBTRSA-N,108223,NA,2-deoxyglucose,SLC2A1,CLUE.IO
129,2-Deoxyhexose,C(C=O)C(C(C(CO)O)O)O,VRYALKFFQXWPIH-UHFFFAOYSA-N,225612,NA,NA,NA,NA
130,2-fluoroAraA (fludarabine),C1=NC2=C(N1C3C(C(C(O3)CO)O)O)N=C(N=C2N)F,HBUBKKRHXORPQB-FJFJXFQQSA-N,657237,NA,NA,NA,NA
131,2-Fluoropalmitic acid,CCCCCCCCCCCCCCC(F)C(=O)O,NA,1560,NA,NA,NA,NA
132,2-Methylpropanamide,CC(C)C(=O)N,WFKAJVHLWXSISD-UHFFFAOYSA-N,68424,NA,NA,NA,NA
133,"2-Nitrophenyl 2,4,6-trimethylbenzenesulfonate",CC1=CC(=C(C(=C1)C)S(=O)(=O)OC2=CC=CC=C2[N+](=O)[O-])C,QCCDASOPVJFNAY-UHFFFAOYSA-N,230706,NA,NA,NA,NA
134,2-Oxiranylmethyl 2-thiophenecarboxylate,C1C(O1)COC(=O)C2=CC=CS2,ZKZQFILNHCVSPG-UHFFFAOYSA-N,361498,NA,NA,NA,NA
135,2-Oxopentanedioic acid,C(CC(=O)O)C(=O)C(=O)O,KPGXRSRHYNQIFN-UHFFFAOYSA-N,51,NA,NA,NA,NA
136,2-Oxopropyl 3-oxobutanoate,CC(=O)CC(=O)OCC(=O)C,GQOFREXOMQUSHS-UHFFFAOYSA-N,361160,NA,NA,NA,NA
137,"2-Phenoxathiincarboxaldehyde, O-methyloxime",CON=CC1=CC2=C(C=C1)OC3=CC=CC=C3S2,AUVRMLAAPHGBTP-DHDCSXOGSA-N,5930847,NA,NA,NA,NA
138,2-Phenoxypropanehydrazide,CC(C(=O)NN)OC1=CC=CC=C1,GSFLSJRVNIXWKZ-UHFFFAOYSA-N,381468,NA,NA,NA,NA
139,2-Phenoxyquinoxaline,C1=CC=C(C=C1)OC2=NC3=CC=CC=C3N=C2,BSDZLWKEACOABU-UHFFFAOYSA-N,3734282,NA,NA,NA,NA
140,2-Piperidinone,C1CCNC(=O)C1,XUWHAWMETYGRKB-UHFFFAOYSA-N,12665,NA,NA,NA,NA
141,2-Pyridinecarboxylic acid,C1=CC=NC(=C1)C(=O)O,SIOXPEMLGUPBBT-UHFFFAOYSA-N,1018,NA,NA,NA,NA
142,2-Pyridineselenenyl bromide,C1=CC=NC(=C1)[Se]Br,HORGYCFLJWJACY-UHFFFAOYSA-N,355898,NA,NA,NA,NA
143,2-Thienylphosphinic acid,NA,VQUMBATZKYCPFB-UHFFFAOYSA-N,6328770,NA,NA,NA,NA
144,"3,3'-Disulfanediyldibenzoic acid",C1=CC(=CC(=C1)SSC2=CC=CC(=C2)C(=O)O)C(=O)O,GFUOAUHUTVPUIJ-UHFFFAOYSA-N,270875,NA,NA,NA,NA
145,"3,3-Dimethylbutanamide",CC(C)(C)CC(=O)N,LINZZISWCNKFEM-UHFFFAOYSA-N,219625,NA,NA,NA,NA
146,"3,5-Dibromotyrosine",C1=C(C=C(C(=C1Br)O)Br)CC(C(=O)O)N,COESHZUDRKCEPA-UHFFFAOYSA-N,10833,NA,NA,NA,NA
147,"3,5-Diiodotyrosine",C1=C(C=C(C(=C1I)O)I)CC(C(=O)O)N,NYPYHUZRZVSYKL-UHFFFAOYSA-N,6181,DB03374,"3,5-Diiodotyrosine",IYD,DrugBank
148,"3,5-Diiodotyrosine",C1=C(C=C(C(=C1I)O)I)CC(C(=O)O)N,NYPYHUZRZVSYKL-UHFFFAOYSA-N,6181,DB03374,"3,5-Diiodotyrosine",PKIA,DrugBank
