"id","Drug","Synonym"
"96","Phenylbutazone","Fenilbutazona"
"97","Phenylbutazone","Butazolidin"
"98","Phenylbutazone","Diphenylbutazone"
"99","Phenylbutazone","Phenylbutazonum"
"100","Phenylbutazone","Butapirazol"
"101","Phenylbutazone","Butapyrazole"
"102","Phenylbutazone","Butacote"
"103","Phenylbutazone","Butadion"
"104","Phenylbutazone","Bute"
"105","Phenylbutazone","Alkabutazona"
"106","Phenylbutazone","Butapirazole"
"107","Phenylbutazone","Chembutazone"
"108","Phenylbutazone","Fenibutazona"
"109","Phenylbutazone","Fenylbutazon"
"110","Phenylbutazone","Intrabutazone"
"111","Phenylbutazone","Mephabutazon"
"112","Phenylbutazone","Mephabutazone"
"113","Phenylbutazone","Praecirheumin"
"114","Phenylbutazone","Scanbutazone"
"115","Phenylbutazone","Alqoverin"
"116","Phenylbutazone","Anpuzone"
"117","Phenylbutazone","Anuspiramin"
"118","Phenylbutazone","Arthrizon"
"119","Phenylbutazone","Artrizin"
"120","Phenylbutazone","Artrizone"
"121","Phenylbutazone","Artropan"
"122","Phenylbutazone","Azobutyl"
"123","Phenylbutazone","Bunetzone"
"124","Phenylbutazone","Butacompren"
"125","Phenylbutazone","Butadiona"
"126","Phenylbutazone","Butagesic"
"127","Phenylbutazone","Butalgina"
"128","Phenylbutazone","Butalidon"
"129","Phenylbutazone","Butarecbon"
"130","Phenylbutazone","Butartril"
"131","Phenylbutazone","Butartrina"
"132","Phenylbutazone","Butazina"
"133","Phenylbutazone","Butazona"
"134","Phenylbutazone","Butidiona"
"135","Phenylbutazone","Butylpyrin"
"136","Phenylbutazone","Buvetzone"
"137","Phenylbutazone","Digibutina"
"138","Phenylbutazone","Diossidone"
"139","Phenylbutazone","Diphebuzol"
"140","Phenylbutazone","Ecobutazone"
"141","Phenylbutazone","Eributazone"
"142","Phenylbutazone","Febuzina"
"143","Phenylbutazone","Fenartil"
"144","Phenylbutazone","Fenibutal"
"145","Phenylbutazone","Fenibutasan"
"146","Phenylbutazone","Fenibutol"
"147","Phenylbutazone","Fenilbutina"
"148","Phenylbutazone","Fenilbutine"
"149","Phenylbutazone","Fenilidina"
"150","Phenylbutazone","Fenotone"
"151","Phenylbutazone","Intalbut"
"152","Phenylbutazone","Intrazone"
"153","Phenylbutazone","Ipsoflame"
"154","Phenylbutazone","Malgesic"
"155","Phenylbutazone","Merizone"
"156","Phenylbutazone","Nadazone"
"157","Phenylbutazone","Nadozone"
"158","Phenylbutazone","Novophenyl"
"159","Phenylbutazone","Phebuzin"
"160","Phenylbutazone","Phebuzine"
"161","Phenylbutazone","Phenbutazol"
"162","Phenylbutazone","Phenopyrine"
"163","Phenylbutazone","Phenylbutaz"
"164","Phenylbutazone","Phenyzone"
"165","Phenylbutazone","Pyrabutol"
"166","Phenylbutazone","Pyrazolidin"
"167","Phenylbutazone","Rectofasa"
"168","Phenylbutazone","Reumasyl"
"169","Phenylbutazone","Reumazin"
"170","Phenylbutazone","Reumazol"
"171","Phenylbutazone","Reumuzol"
"172","Phenylbutazone","Reupolar"
"173","Phenylbutazone","Robizone"
"174","Phenylbutazone","Rubatone"
"175","Phenylbutazone","Alindor"
"176","Phenylbutazone","Anerval"
"177","Phenylbutazone","Antadol"
"178","Phenylbutazone","Azolid"
"179","Phenylbutazone","Benzone"
"180","Phenylbutazone","Betazed"
"181","Phenylbutazone","Busone"
"182","Phenylbutazone","Butaluy"
"183","Phenylbutazone","Butone"
"184","Phenylbutazone","Diozol"
"185","Phenylbutazone","Elmedal"
"186","Phenylbutazone","Lingel"
"187","Phenylbutazone","Reudox"
"188","Phenylbutazone","Reumune"
"189","Phenylbutazone","Butoz"
"190","Phenylbutazone","Buzon"
"191","Phenylbutazone","Kadol"
"192","Phenylbutazone","Reudo"
"193","Phenylbutazone","Butiwas-Simple"
"194","Phenylbutazone","Neo-zoline"
"195","Phenylbutazone","Phenyl-Mobuzon"
"196","Phenylbutazone","Equi bute"
"197","Phenylbutazone","Robizon-V"
"198","Phenylbutazone","Phenylbutazon"
"199","Phenylbutazone","Butaphen"
"200","Phenylbutazone","Equipalazone"
"201","Phenylbutazone","Flexazone"
"202","Phenylbutazone","Ia-But"
"203","Phenylbutazone","Pirarreumol B"
"204","Phenylbutazone","Buta phen"
"205","Phenylbutazone","4-Butyl-1,2-diphenyl-3,5-pyrazolidinedione"
"206","Phenylbutazone","Bizolin 200"
"207","Phenylbutazone","Fenilbutazon"
"208","Phenylbutazone","Phenbutazone"
"209","Phenylbutazone","Schemergin"
"210","Phenylbutazone","Bizolin"
"211","Phenylbutazone","Wescozone"
"212","Phenylbutazone","Zolaphen"
"213","Phenylbutazone","Azdid"
"214","Phenylbutazone","Tazone"
"215","Phenylbutazone","Uzone"
"216","Phenylbutazone","Exrheudon N"
"217","Phenylbutazone","Robizone-V"
"218","Phenylbutazone","Phen-Buta-Vet"
"219","Phenylbutazone","Butadionum"
"220","Phenylbutazone","Schemergen"
"221","Phenylbutazone","Shigrodin"
"222","Phenylbutazone","Tencodyne"
"223","Phenylbutazone","Tevcodyne"
"224","Phenylbutazone","Therazone"
"225","Phenylbutazone","Todalgil"
"226","Phenylbutazone","Zolidinum"
"227","Phenylbutazone","Tetnor"
"228","Phenylbutazone","Ticinil"
"229","Phenylbutazone","B.t.z."
"230","Phenylbutazone","3,5-Pyrazolidinedione, 4-butyl-1,2-diphenyl-"
"231","Phenylbutazone","esteve"
"232","Phenylbutazone","4-BUTYL-1,2-DIPHENYL-PYRAZOLIDINE-3,5-DIONE"
"233","Phenylbutazone","Phenyl butazone"
"234","Phenylbutazone","Usaf ge-15"
"235","Phenylbutazone","4-Butyl-1,2-diphenyl-3,5-dioxopyrazolidine"
"236","Phenylbutazone","Fenilbutazone [DCIT]"
"237","Phenylbutazone","Phenylbutazon [German]"
"238","Phenylbutazone","4-n-Butyl-1,2-diphenyl-3,5-pyrazolidinedione"
"239","Phenylbutazone","3,5-Dioxo-1,2-diphenyl-4-N-butylpyrazolidine"
"240","Phenylbutazone","VAC-10"
"241","Phenylbutazone","A 7514"
"242","Phenylbutazone","Fenilbutazona [INN-Spanish]"
"243","Phenylbutazone","Phenylbutazonum [INN-Latin]"
"244","Phenylbutazone","DA-192"
"245","Phenylbutazone","1,2-Diphenyl-4-butyl-3,5-pyrazolidinedione"
"246","Phenylbutazone","3,5-Dioxo-1,2-diphenyl-4-n-butyl-pyrazolidin"
"247","Phenylbutazone","G 13,871"
"248","Phenylbutazone","UNII-GN5P7K3T8S"
"249","Phenylbutazone","1,2-Diphenyl-3,5-dioxo-4-butylpyrazolidine"
"250","Phenylbutazone","1,2-Diphenyl-4-butyl-3,5-dioxopyrazolidine"
"251","Phenylbutazone","R-3-ZON"
"252","Phenylbutazone","CCRIS 2374"
"253","Phenylbutazone","CHEBI:48574"
"254","Phenylbutazone","HSDB 3159"
"255","Phenylbutazone","3,5-Dioxe-4 buty-1, diphenyl-pyrazolidine"
"256","Phenylbutazone","NCI-C56531"
"257","Phenylbutazone","EINECS 200-029-0"
"258","Phenylbutazone","NSC 25134"
"259","Phenylbutazone","G 13871"
"260","Phenylbutazone","BRN 0290080"
"261","Phenylbutazone","GN5P7K3T8S"
"262","Phenylbutazone","MLS000069424"
"263","Phenylbutazone","VYMDGNCVAMGZFE-UHFFFAOYSA-N"
"264","Phenylbutazone","NCI-C55414"
"265","Phenylbutazone","MFCD00005500"
"266","Phenylbutazone","NCGC00015846-10"
"267","Phenylbutazone","NCGC00015846-11"
"268","Phenylbutazone","Fenilbutazone"
"269","Phenylbutazone","Butatron"
"270","Phenylbutazone","SMR000059073"
"271","Phenylbutazone","DSSTox_CID_1136"
"272","Phenylbutazone","DSSTox_RID_75967"
"273","Phenylbutazone","DSSTox_GSID_21136"
"274","Phenylbutazone","P1Z"
"275","Phenylbutazone","Equiphen"
"276","Phenylbutazone","fe nilbutine"
"277","Phenylbutazone","butyl pyrin"
"278","Phenylbutazone","art rizin"
"279","Phenylbutazone","CAS-50-33-9"
"280","Phenylbutazone","4297-92-1"
"281","Phenylbutazone","component of Azolid-A"
"282","Phenylbutazone","4-butyl-1,2-diphenyl-1,2-diazolidine-3,5-dione"
"283","Phenylbutazone","SR-01000000004"
"284","Phenylbutazone","AZOLID (TN)"
"285","Phenylbutazone","Phenylbutazone [USAN:INN:BAN:JAN]"
"286","Phenylbutazone","B.T.Z"
"287","Phenylbutazone","Alkazone"
"288","Phenylbutazone","Phenogel"
"289","Phenylbutazone","Phenylbutazone/"
"290","Phenylbutazone","Phen-Buta"
"291","Phenylbutazone","1,2-diphenyl-3,5-dioxo-4-n-butylpyrazoline"
"292","Phenylbutazone","Pirarreumol 'B'"
"293","Phenylbutazone","Phenylbutazone [USP:INN:BAN:JAN]"
"294","Phenylbutazone","1,5-dioxopyrazolidine"
"295","Phenylbutazone","Spectrum_001079"
"296","Phenylbutazone","4-Butyl-1,5-dione"
"297","Phenylbutazone","Phenylbutazone, 99+%"
"298","Phenylbutazone","Opera_ID_888"
"299","Phenylbutazone","3,5-dioxo-4-butyl-1-diphenyl-pyrazolidine"
"300","Phenylbutazone","Bute;Butazolidin;Butatron"
"301","Phenylbutazone","Spectrum2_001282"
"302","Phenylbutazone","Spectrum3_000675"
"303","Phenylbutazone","Spectrum4_000477"
"304","Phenylbutazone","Spectrum5_001335"
"305","Phenylbutazone","Lopac-P-8386"
"306","Phenylbutazone","P1686"
"307","Phenylbutazone","Epitope ID:124940"
"308","Phenylbutazone","P 8386"
"309","Phenylbutazone","SCHEMBL3632"
"310","Phenylbutazone","Lopac0_000993"
"311","Phenylbutazone","Oprea1_416494"
"312","Phenylbutazone","BSPBio_002369"
"313","Phenylbutazone","KBioGR_000954"
"314","Phenylbutazone","KBioSS_001559"
"315","Phenylbutazone","KSC269K7B"
"316","Phenylbutazone","MLS001148412"
"317","Phenylbutazone","MLS002152929"
"318","Phenylbutazone","DivK1c_000331"
"319","Phenylbutazone","SPECTRUM1500482"
"320","Phenylbutazone","SPBio_001283"
"321","Phenylbutazone","1,5-dioxo-4-butylpyrazolidine"
"322","Phenylbutazone","3, 4-butyl-1,2-diphenyl-"
"323","Phenylbutazone","4-Butyl-1,5-dioxopyrazolidine"
"324","Phenylbutazone","4-Butyl-1,5-pyrazolidinedione"
"325","Phenylbutazone","GTPL7270"
"326","Phenylbutazone","1,3-dioxo-4-N-butylpyrazoline"
"327","Phenylbutazone","DTXSID9021136"
"328","Phenylbutazone","CTK1G9570"
"329","Phenylbutazone","HMS501A13"
"330","Phenylbutazone","KBio1_000331"
"331","Phenylbutazone","KBio2_001559"
"332","Phenylbutazone","KBio2_004127"
"333","Phenylbutazone","KBio2_006695"
"334","Phenylbutazone","KBio3_001589"
"335","Phenylbutazone","KS-00000TLZ"
"336","Phenylbutazone","NINDS_000331"
"337","Phenylbutazone","Phenylbutazone (JP17/USP/INN)"
"338","Phenylbutazone","BCPP000108"
"339","Phenylbutazone","HMS1920H06"
"340","Phenylbutazone","HMS2090H17"
"341","Phenylbutazone","HMS2091P08"
"342","Phenylbutazone","HMS2233B13"
"343","Phenylbutazone","HMS3263G07"
"344","Phenylbutazone","HMS3369P16"
"345","Phenylbutazone","HMS3649M17"
"346","Phenylbutazone","HMS3651G15"
"347","Phenylbutazone","HMS3715E21"
"348","Phenylbutazone","LS-71"
"349","Phenylbutazone","Pharmakon1600-01500482"
"350","Phenylbutazone","Phenylbutazone, analytical standard"
"351","Phenylbutazone","component of Azolid-A (Salt/Mix)"
"352","Phenylbutazone","BCP02607"
"353","Phenylbutazone","HY-B0230"
"354","Phenylbutazone","NSC25134"
"355","Phenylbutazone","3,2-diphenyl-4-N-butylpyrazolidine"
"356","Phenylbutazone","Tox21_110242"
"357","Phenylbutazone","Tox21_110243"
"358","Phenylbutazone","Tox21_201809"
"359","Phenylbutazone","Tox21_302763"
"360","Phenylbutazone","Tox21_500993"
"361","Phenylbutazone","3,2-diphenyl-4-N-butyl-pyrazolidin"
"362","Phenylbutazone","ABP000789"
"363","Phenylbutazone","AC-683"
"364","Phenylbutazone","CCG-39220"
"365","Phenylbutazone","NSC-25134"
"366","Phenylbutazone","NSC757272"
"367","Phenylbutazone","s1654"
"368","Phenylbutazone","SBB012526"
"369","Phenylbutazone","STK388348"
"370","Phenylbutazone","AKOS001592731"
"371","Phenylbutazone","Phenylbutazone (Butazolidin, Butatron)"
"372","Phenylbutazone","Tox21_110242_1"
"373","Phenylbutazone","ZINC100004227"
"374","Phenylbutazone","CS-2180"
"375","Phenylbutazone","DB00812"
"376","Phenylbutazone","KS-5127"
"377","Phenylbutazone","LP00993"
"378","Phenylbutazone","MCULE-4303869118"
"379","Phenylbutazone","NE30722"
"380","Phenylbutazone","NSC-757272"
"381","Phenylbutazone","SDCCGSBI-0050966.P005"
"382","Phenylbutazone","WLN: T5VNNV EHJ BR& CR& E4"
"383","Phenylbutazone","IDI1_000331"
"384","Phenylbutazone","NCGC00015846-01"
"385","Phenylbutazone","NCGC00015846-02"
"386","Phenylbutazone","NCGC00015846-03"
"387","Phenylbutazone","NCGC00015846-04"
"388","Phenylbutazone","NCGC00015846-05"
"389","Phenylbutazone","NCGC00015846-06"
"390","Phenylbutazone","NCGC00015846-07"
"391","Phenylbutazone","NCGC00015846-08"
"392","Phenylbutazone","NCGC00015846-09"
"393","Phenylbutazone","NCGC00015846-12"
"394","Phenylbutazone","NCGC00015846-13"
"395","Phenylbutazone","NCGC00015846-15"
"396","Phenylbutazone","NCGC00023855-03"
"397","Phenylbutazone","NCGC00023855-04"
"398","Phenylbutazone","NCGC00023855-05"
"399","Phenylbutazone","NCGC00023855-06"
"400","Phenylbutazone","NCGC00023855-07"
"401","Phenylbutazone","NCGC00023855-08"
"402","Phenylbutazone","NCGC00181112-01"
"403","Phenylbutazone","NCGC00256449-01"
"404","Phenylbutazone","NCGC00259358-01"
"405","Phenylbutazone","NCGC00261678-01"
"406","Phenylbutazone","AK542945"
"407","Phenylbutazone","SC-25755"
"408","Phenylbutazone","ST066897"
"409","Phenylbutazone","SBI-0050966.P004"
"410","Phenylbutazone","AB2000198"
"411","Phenylbutazone","DB-051755"
"412","Phenylbutazone","EU-0100993"
"413","Phenylbutazone","FT-0603217"
"414","Phenylbutazone","SW199456-2"
"415","Phenylbutazone","UNM000001255503"
"416","Phenylbutazone","1,2-diphenyl-3,5-dioxo-4-butyl-pyrazolidine"
"417","Phenylbutazone","Phenylbutazone, SAJ special grade, >=99.0%"
"418","Phenylbutazone","1,2-diphenyl-3,5-dioxo-4-n-butylpyrazolidine"
"419","Phenylbutazone","4-Butyl-1,2 -diphenyl-3,5-dioxo pyrazolidine"
"420","Phenylbutazone","4-Butyl-1,2-diphenyl-3,5-dioxo pyrazolidine"
"421","Phenylbutazone","C07440"
"422","Phenylbutazone","D00510"
"423","Phenylbutazone","1,2-diphenyl-3,5-dioxo-4-n-butyl-pyrazolidine"
"424","Phenylbutazone","AB00052071-15"
"425","Phenylbutazone","AB00052071-16"
"426","Phenylbutazone","AB00052071_17"
"427","Phenylbutazone","AB00052071_18"
"428","Phenylbutazone","A828072"
"429","Phenylbutazone","AG-205/04675049"
"430","Phenylbutazone","Q421342"
"431","Phenylbutazone","SR-01000000004-2"
"432","Phenylbutazone","SR-01000000004-4"
"433","Phenylbutazone","SR-01000000004-5"
"434","Phenylbutazone","SR-01000000004-9"
"435","Phenylbutazone","W-105972"
"436","Phenylbutazone","BRD-K10843433-001-12-8"
"437","Phenylbutazone","BRD-K10843433-001-20-1"
"438","Phenylbutazone","SR-01000000004-13"
"439","Phenylbutazone","Z57355370"
"440","Phenylbutazone","4-butyl-1,2-diphenyl-1H-pyrazole-3,5(2H,4H)-dione"
"441","Phenylbutazone","Phenylbutazone, TraceCERT(R), certified reference material"
"442","Phenylbutazone","Phenylbutazone, European Pharmacopoeia (EP) Reference Standard"
"443","Phenylbutazone","Phenylbutazone, United States Pharmacopeia (USP) Reference Standard"
"444","Phenylbutazone","InChI=1/C19H20N2O2/c1-2-3-14-17-18(22)20(15-10-6-4-7-11-15)21(19(17)23)16-12-8-5-9-13-16/h4-13,17H,2-3,14H2,1H"
"445","Rifampicin","Rifampicin"
"446","Rifampicin","rifampin"
"447","Rifampicin","Rifadin"
"448","Rifampicin","Rimactane"
"449","Rifampicin","Rimactan"
"450","Rifampicin","Rifamycin AMP"
"451","Rifampicin","13292-46-1"
"452","Rifampicin","Rifaldazine"
"453","Rifampicin","Rifaprodin"
"454","Rifampicin","Riforal"
"455","Rifampicin","Tubocin"
"456","Rifampicin","Rifa"
"457","Rifampicin","Rifampicinum"
"458","Rifampicin","Archidyn"
"459","Rifampicin","Rifoldin"
"460","Rifampicin","Rifoldine"
"461","Rifampicin","Rimactizid"
"462","Rifampicin","Rifagen"
"463","Rifampicin","Rimazid"
"464","Rifampicin","Rifampicin SV"
"465","Rifampicin","R/AMP"
"466","Rifampicin","Arficin"
"467","Rifampicin","Benemicin"
"468","Rifampicin","Doloresum"
"469","Rifampicin","Eremfat"
"470","Rifampicin","Fenampicin"
"471","Rifampicin","Rifadine"
"472","Rifampicin","Rifaldazin"
"473","Rifampicin","Rifaldin"
"474","Rifampicin","Rifamor"
"475","Rifampicin","Rifinah"
"476","Rifampicin","Rifobac"
"477","Rifampicin","Rimactazid"
"478","Rifampicin","Sinerdol"
"479","Rifampicin","Arzide"
"480","Rifampicin","Rifcin"
"481","Rifampicin","Rifam"
"482","Rifampicin","L-5103 Lepetit"
"483","Rifampicin","Dione 21-acetate"
"484","Rifampicin","Rifampicine [French]"
"485","Rifampicin","Rifampicina"
"486","Rifampicin","Abrifam"
"487","Rifampicin","Rifampicinum [INN-Latin]"
"488","Rifampicin","Ba 41166/E"
"489","Rifampicin","Rifampicina [INN-Spanish]"
"490","Rifampicin","3-(((4-Methyl-1-piperazinyl)imino)methyl)rifamycin SV"
"491","Rifampicin","CCRIS 551"
"492","Rifampicin","Rifadin I.V."
"493","Rifampicin","Rifater"
"494","Rifampicin","HSDB 3181"
"495","Rifampicin","UNII-VJT6J7R4TR"
"496","Rifampicin","BA-41166E"
"497","Rifampicin","NSC113926"
"498","Rifampicin","VJT6J7R4TR"
"499","Rifampicin","NSC-113926"
"500","Rifampicin","Rifampicine"
"501","Rifampicin","Rifampicin [INN:BAN:JAN]"
"502","Rifampicin","Rifamycin, 3-(((4-methyl-1-piperazinyl)imino)methyl)-"
"503","Rifampicin","RFP"
"504","Rifampicin","CHEBI:28077"
"505","Rifampicin","3-(4-Methylpiperazinyliminomethyl)-rifamycin SV"
"506","Rifampicin","8-(4-Methylpiperazinyliminomethyl) rifamycin SV"
"507","Rifampicin","L-5103"
"508","Rifampicin","C43H58N4O12"
"509","Rifampicin","EINECS 236-312-0"
"510","Rifampicin","NSC 113926"
"511","Rifampicin","(2S,12Z,14E,16S,17S,18R,19R,20R,21S,22R,23S,24E)-5,6,9,17,19-pentahydroxy-23-methoxy-2,4,12,16,18,20,22-heptamethyl-8-{(E)-[(4-methylpiperazin-1-yl)imino]methyl}-1,11-dioxo-1,2-dihydro-2,7-(epoxypentadeca[1,11,13]trienoimino)naphtho[2,1-b]furan-21-yl acetate"
"512","Rifampicin","8-(((4-Methyl-1-piperazinyl)imino)methyl)rifamycin SV"
"513","Rifampicin","Rifamycin, 3-[[(4-methyl-1-piperazinyl)imino]methyl]-"
"514","Rifampicin","Rifomycin SV, 8-(N-(4-methyl-1-piperazinyl)formidoyl)-"
"515","Rifampicin","DSSTox_CID_1244"
"516","Rifampicin","3-(4-Methylpiperazinyliminomethyl)rifamycin SV"
"517","Rifampicin","DSSTox_RID_76035"
"518","Rifampicin","DSSTox_GSID_21244"
"519","Rifampicin","RIF"
"520","Rifampicin","Benemycin"
"521","Rifampicin","(7S,9E,11S,12R,13S,14R,15R,16R,17S,18S,19E,21Z)-2,15,17,27,29-pentahydroxy-11-methoxy-3,7,12,14,16,18,22-heptamethyl-26-{(E)-[(4-methylpiperazin-1-yl)imino]methyl}-6,23-dioxo-8,30-dioxa-24-azatetracyclo[23.3.1.1(4,7).0(5,28)]triaconta-1(28),1(29),2,4,9,19,21,25,27-nonaen-13-yl acetate"
"522","Rifampicin","5,6,9,17,19,21-Hexahydroxy-23-methoxy-2,4,12,16,18,20,22-heptamethyl-8-(N-(4-methyl-1-piperazinyl)formimidoyl)-2,7-(epoxypentadeca(1,11,13)trienimino)naphtho(2,1-b)furan-1,11(2H)-dione 21-acetate"
"523","Rifampicin","CAS-13292-46-1"
"524","Rifampicin","3-(((4-Methyl-1-piperazinyl)imino)-methyl)rifamycin"
"525","Rifampicin","3-[[(4-Methyl-1-piperazinyl)imino]-methyl]rifamycin"
"526","Rifampicin","3-([(4-Methyl-1-piperazinyl)imino]methyl)rifamycin SV"
"527","Rifampicin","8-[[(4-Methyl-1-piperazinyl)imino]methyl]rifamycin sv"
"528","Rifampicin","rifamcin"
"529","Rifampicin","[1,11,13]trienimino)naphto[2,1-b]furan-21-yl acetate"
"530","Rifampicin","Rifomycin sv, 8-[N-(4-Methyl-1-piperazinyl)formidoyl]-"
"531","Rifampicin","JQXXHWHPUNPDRT-WLSIYKJHSA-N"
"532","Rifampicin","Rifamsolin"
"533","Rifampicin","Dipicin"
"534","Rifampicin","Rimycin"
"535","Rifampicin","Famcin"
"536","Rifampicin","Rifamicin AMP"
"537","Rifampicin","Rifadin I.V"
"538","Rifampicin","Rimactane (TN)"
"539","Rifampicin","NCGC00094777-01"
"540","Rifampicin","AZT + Rifampin"
"541","Rifampicin","Rifampin (USP)"
