,unique.cellid,CGP.cellid,CCLE.cellid,GSK.cellid,NCI60.cellid,GRAY.cellid,GNE.cellid,CTRP.cellid,CGP_EMTAB3610.cellid,GDSC_rnaseq.cellid,CCLE_exome.cellid,CCLE_rnaseq.cellid,GDSC.SNP.cellid,Ben_Neel.cellid,CTRPv2.cellid,gCSI.cellid,GDSC1000.cellid,CGP.tissueid,CCLE.tissueid,GSK.tissueid,NCI60.tissueid,GRAY.tissueid,GNE.tissueid,CTRP.tissueid,CGP_EMTAB3610.tissueid,CCLE_rnaseq.tissueid,GDSC.SNP.tissueid,Cescon.cellid,Ben_Neel.tissueid,COSMIC.tissueid,unique.tissueid,CTRPv2.tissueid,gCSI.tissueid,GDSC1000.tissueid,Cleveland.cellid,Cleveland.tissueid,FIMM.cellid,FIMM.tissueid,Cellosaurus.Accession.id,PharmacoDB.id,GDSC_Exome.cellid,unique.tissueid.fromstudies,Cellosaurus.Disease.Type,CellLine.Type,Metastatic,DepMap.cellid
11,8505C,8505C,8505C,NA,NA,NA,NA,NA,8505C,NA,8505C,8505C,8505C,NA,8505C,8505C,8505C,thyroid,thyroid,NA,NA,NA,NA,NA,thyroid,thyroid,thyroid,NA,NA,thyroid,Thyroid,thyroid,Thyroid,thyroid,8505C,thyroid,NA,NA,CVCL_1054,8505C_31_2019,8505C,thyroid,Thyroid gland undifferentiated (anaplastic) carcinoma,Cancer cell line,NA,ACH-001307
12,8-MG-BA,8-MG-BA,8-MG-BA,NA,NA,NA,NA,NA,8-MG-BA,NA,8-MG-BA,8-MG-BA,8-MG-BA,NA,8MGBA,NA,8-MG-BA,central_nervous_system,central_nervous_system,NA,NA,NA,NA,NA,CNS,central_nervous_system,nervous_system,NA,NA,central_nervous_system,CNS/Brain,central_nervous_system,NA,central_nervous_system,8MGBA,central_nervous_system,NA,NA,CVCL_1052,8MGBA_29_2019,8-MG-BA,central_nervous_system,Glioblastoma,Cancer cell line,NA,ACH-000137
13,A101D,A101D,A101D,A101D,NA,NA,NA,NA,A101D,NA,A101D,A101D,A101D,NA,A101D,NA,A101D,skin,skin,skin,NA,NA,NA,NA,Skin,skin,skin,NA,NA,skin,Skin,skin,NA,skin,A101D,skin,NA,NA,CVCL_1057,A101D_34_2019,A101D,skin,Melanoma,Cancer cell line,NA,ACH-000008
14,A-172,A172,A172,A172,NA,NA,A172,NA,A172,NA,A172,A172,A172,NA,A172,A172,A172,central_nervous_system,central_nervous_system,brain,NA,NA,Brain,NA,Brain,central_nervous_system,nervous_system,NA,NA,central_nervous_system,CNS/Brain,central_nervous_system,Brain,central_nervous_system,A172,central_nervous_system,NA,NA,CVCL_0131,A172_36_2019,A172,central_nervous_system,Glioblastoma,Cancer cell line,NA,ACH-000558
15,A-204,A204,A-204,A204,NA,NA,NA,NA,A204,NA,A-204,A-204,A204,NA,A204,NA,A204,soft_tissue,soft_tissue,muscle,NA,NA,NA,NA,Muscle,soft_tissue,NA,NA,NA,soft_tissue,Soft Tissue,soft_tissue,NA,soft_tissue,A204,soft_tissue,NA,NA,CVCL_1058,A204_37_2019,A204,soft_tissue,Embryonal rhabdomyosarcoma,Cancer cell line,NA,ACH-000201
16,A2058,A2058,A2058,NA,NA,NA,A2058,NA,A2058,NA,A2058,A2058,A2058,NA,A2058,A2058,A2058,skin,skin,NA,NA,NA,Skin,NA,Skin,skin,NA,NA,NA,skin,Skin,skin,Skin,skin,A2058,skin,NA,NA,CVCL_1059,A2058_38_2019,A2058,skin,Amelanotic melanoma,Cancer cell line,TRUE,ACH-000788
17,A-253,A253,A-253,NA,NA,NA,NA,NA,A253,NA,A-253,A-253,A253,NA,A253,A-253,A253,skin,salivary_gland,NA,NA,NA,NA,NA,H&N,skin,aero_digestive_tract,NA,NA,skin,Head and Neck,salivary_gland,NA,skin,A253,salivary_gland,NA,NA,CVCL_1060,A253_39_2019,A253,skin,Salivary gland squamous cell carcinoma,Cancer cell line,NA,ACH-000740
18,A2780,A2780,A2780,A2780,NA,NA,A2780,A2780,A2780,NA,A2780,A2780,A2780,NA,A2780,A2780,A2780,ovary,ovary,ovary,NA,NA,Ovary,OVARY,Ovary,ovary,urogenital_system,NA,NA,ovary,Ovary/Fallopian Tube,ovary,Ovary,ovary,A2780,ovary,NA,NA,CVCL_0134,A2780_40_2019,A2780,ovary,Ovarian endometrioid adenocarcinoma,Cancer cell line,NA,ACH-000657
19,A-375,A375,A-375,A375,NA,NA,A-375,A375,A375,NA,A-375,A-375,A375,NA,A375,A-375,A375,skin,skin,skin,NA,NA,Skin,SKIN,Skin,skin,skin,NA,NA,skin,Skin,skin,Skin,skin,NA,NA,NA,NA,CVCL_0132,A375_42_2019,A375,skin,Amelanotic melanoma,Cancer cell line,NA,ACH-000219
20,A-388,A388,NA,NA,NA,NA,NA,NA,A388,A388,NA,NA,A388,NA,NA,A388,A388,skin,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,skin,Skin,NA,NA,skin,NA,NA,NA,NA,CVCL_1063,A388_43_2019,A388,skin,Squamous cell carcinoma,Cancer cell line,NA,ACH-001442
21,A3/Kawakami,A3-KAW,A3/KAW,NA,NA,NA,A3/KAW,NA,A3-KAW,NA,A3_KAW,A3_KAW,A3-KAW,NA,A3KAW,A3-KAW,A3-KAW,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,NA,Blood,NA,Blood,haematopoietic_and_lymphoid_tissue,NA,NA,NA,haematopoietic_and_lymphoid_tissue,Lymphoid,haematopoietic_and_lymphoid_tissue,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,CVCL_1062,A3KAW_41_2019,A3-KAW,haematopoietic_and_lymphoid_tissue,Diffuse large B-cell lymphoma,Cancer cell line,NA,ACH-000697
22,A-427,A427,A427,A427,NA,NA,A-427,NA,A427,A427,NA,NA,A427,NA,NA,A-427,A427,lung,NA,lung,NA,NA,Lung,NA,Lung:NSCLC,NA,lung,NA,NA,lung,Lung,NA,NA,lung,NA,NA,NA,NA,CVCL_1055,A427_45_2019,A427,lung,Lung adenocarcinoma,Cancer cell line,NA,ACH-000757
23,A-431,A431,NA,A431,NA,NA,A-431,NA,A431,A431,NA,NA,A431,NA,NA,A-431,A431,skin,NA,skin,NA,NA,Skin,NA,Skin,NA,NA,NA,NA,skin,Other,NA,Skin,skin,NA,NA,NA,NA,CVCL_0037,A431_46_2019,A431,skin,Vulvar squamous cell carcinoma,Cancer cell line,NA,ACH-001328
24,A-498,A498,A-498,A498,RE:A498,NA,A-498,NA,A498,NA,A-498,A-498,A498,NA,A498,A-498,A498,kidney,kidney,kidney,RE,NA,Kidney,NA,Kidney,kidney,kidney,NA,NA,kidney,Kidney,kidney,Kidney,kidney,A498,kidney,NA,NA,CVCL_1056,A498_47_2019,A498,kidney,Renal cell carcinoma,Cancer cell line,NA,ACH-000555
25,A4/Fukuda,A4-Fuk,A4/Fuk,NA,NA,NA,A4/Fuk,NA,A4-Fuk,NA,A4_Fuk,A4_Fuk,A4-Fuk,NA,A4FUK,A4-Fuk,A4-Fuk,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,NA,Blood,NA,Skin,haematopoietic_and_lymphoid_tissue,blood,NA,NA,haematopoietic_and_lymphoid_tissue,Lymphoid,haematopoietic_and_lymphoid_tissue,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,CVCL_1064,A4Fuk_44_2019,A4-Fuk,haematopoietic_and_lymphoid_tissue,B acute lymphoblastic leukemia,Cancer cell line,NA,ACH-000157
26,A-549,A549,A549,A549,LC:A549,NA,A549,A549,A549,NA,A549,A549,A549,NA,A549,A549,A549,lung,lung,lung,LC,NA,Lung,LUNG,Lung:NSCLC,lung,lung,NA,NA,lung,Lung,lung,Lung,lung,NA,NA,NA,NA,CVCL_0023,A549_48_2019,A549,lung,Lung adenocarcinoma,Cancer cell line,NA,ACH-000681
27,A-673,A673,A-673,A673,NA,NA,A-673,NA,A673,NA,A-673,A-673,A673,NA,A673,A-673,A673,bone,bone,muscle,NA,NA,Skeletal Muscle,NA,Muscle,bone,soft_tissue,NA,NA,bone,Bone,bone,Muscle,bone,A673,bone,NA,NA,CVCL_0080,A673_49_2019,A673,bone,Ewing sarcoma,Cancer cell line,NA,ACH-000052
28,A-704,A704,A-704,NA,NA,NA,NA,NA,A704,NA,A-704,A-704,A704,NA,NA,NA,A704,kidney,kidney,NA,NA,NA,NA,NA,Kidney,kidney,kidney,NA,NA,kidney,Kidney,NA,NA,kidney,NA,NA,NA,NA,CVCL_1065,A704_50_2019,A704,kidney,Renal cell carcinoma,Cancer cell line,NA,ACH-000429
29,ABC-1,ABC-1,ABC-1,NA,NA,NA,ABC-1,NA,ABC-1,NA,ABC-1,ABC-1,ABC-1,NA,NA,ABC-1,ABC-1,lung,lung,NA,NA,NA,Lung,NA,Lung:NSCLC,lung,lung,NA,NA,lung,Lung,NA,Lung,lung,NA,NA,NA,NA,CVCL_1066,ABC1_51_2019,ABC-1,lung,Lung adenocarcinoma,Cancer cell line,TRUE,ACH-000528
30,ACHN,ACHN,ACHN,ACHN,RE:ACHN,NA,ACHN,NA,ACHN,NA,ACHN,ACHN,ACHN,NA,ACHN,ACHN,ACHN,kidney,kidney,kidney,RE,NA,Kidney,NA,Kidney,kidney,kidney,NA,NA,kidney,Kidney,kidney,Kidney,kidney,ACHN,kidney,NA,NA,CVCL_1067,ACHN_54_2019,ACHN,kidney,Papillary renal cell carcinoma,Cancer cell line,TRUE,ACH-000046
31,ACN,ACN,NA,NA,NA,NA,NA,NA,ACN,ACN,NA,NA,ACN,NA,NA,NA,NA,autonomic_ganglia,NA,NA,NA,NA,NA,NA,autonomic_ganglia,NA,nervous_system,NA,NA,autonomic_ganglia,Peripheral Nervous System,NA,NA,autonomic_ganglia,NA,NA,NA,NA,CVCL_1068,ACN_55_2019,NA,autonomic_ganglia,Neuroblastoma,Cancer cell line,TRUE,ACH-002389
32,AGS,AGS,AGS,AGS,NA,NA,AGS,AGS,AGS,NA,AGS,AGS,AGS,NA,AGS,AGS,AGS,stomach,stomach,stomach,NA,NA,Stomach,STOMACH,Stomach,stomach,digestive_system,NA,NA,stomach,Esophagus/Stomach,stomach,Stomach,stomach,AGS,stomach,NA,NA,CVCL_0139,AGS_56_2019,AGS,stomach,Gastric adenocarcinoma,Cancer cell line,NA,ACH-000880
33,ALL-PO,ALL-PO,NA,NA,NA,NA,NA,NA,ALL-PO,ALL-PO,NA,NA,ALL-PO,NA,NA,NA,ALL-PO,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA,NA,Blood,NA,blood,NA,NA,haematopoietic_and_lymphoid_tissue,Lymphoid,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,CVCL_1069,ALLPO_58_2019,ALL-PO,haematopoietic_and_lymphoid_tissue,Childhood B acute lymphoblastic leukemia,Cancer cell line,NA,ACH-002209
34,AM-38,AM-38,AM-38,NA,NA,NA,NA,NA,AM-38,NA,AM-38,AM-38,AM-38,NA,AM38,AM-38,AM-38,central_nervous_system,central_nervous_system,NA,NA,NA,NA,NA,CNS,central_nervous_system,NA,NA,NA,central_nervous_system,CNS/Brain,central_nervous_system,Brain,central_nervous_system,AM38,central_nervous_system,NA,NA,CVCL_1070,AM38_60_2019,AM-38,central_nervous_system,Glioblastoma,Cancer cell line,NA,ACH-000269
35,AML-193,AML-193,AML-193,NA,NA,NA,NA,NA,NA,NA,AML-193,AML-193,NA,NA,AML193,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,haematopoietic_and_lymphoid_tissue,Myeloid,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA,NA,CVCL_1071,AML193_61_2019,NA,haematopoietic_and_lymphoid_tissue,Childhood acute myeloid leukemia,Cancer cell line,NA,ACH-000557
36,AN3-CA,AN3-CA,AN3 CA,AN3CA,NA,NA,AN3 CA,NA,AN3-CA,NA,AN3_CA,AN3_CA,AN3-CA,NA,AN3CA,AN3 CA,AN3-CA,endometrium,endometrium,uterus,NA,NA,Uterus,NA,Uterus,endometrium,urogenital_system,NA,NA,endometrium,Uterus,endometrium,Uterus,endometrium,AN3CA,endometrium,NA,NA,CVCL_0028,AN3CA_63_2019,AN3-CA,endometrium,Endometrial adenocarcinoma,Cancer cell line,TRUE,ACH-000940
37,ARH-77,ARH-77,NA,ARH77,NA,NA,NA,NA,ARH-77,ARH-77,NA,NA,ARH-77,NA,NA,NA,ARH-77,haematopoietic_and_lymphoid_tissue,NA,hematopoietic_and_lymphatic_system,NA,NA,NA,NA,Blood,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,Lymphoid,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,CVCL_1072,ARH77_64_2019,ARH-77,haematopoietic_and_lymphoid_tissue,NA,Transformed cell line,NA,ACH-002210
38,AsPC-1,AsPC-1,AsPC-1,ASPC1,NA,NA,AsPC-1,NA,AsPC-1,NA,AsPC-1,AsPC-1,AsPC-1,NA,ASPC1,AsPC-1,AsPC-1,pancreas,pancreas,pancreas,NA,NA,Pancreas,NA,Pancreas,pancreas,pancreas,NA,NA,pancreas,Pancreas,pancreas,Pancreas,pancreas,ASPC1,pancreas,NA,NA,CVCL_0152,AsPC1_67_2019,AsPC-1,pancreas,Pancreatic ductal adenocarcinoma,Cancer cell line,TRUE,ACH-000222
39,ATN-1,ATN-1,NA,NA,NA,NA,NA,NA,ATN-1,ATN-1,NA,NA,ATN-1,NA,NA,NA,ATN-1,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA,NA,Blood,NA,blood,NA,NA,haematopoietic_and_lymphoid_tissue,Lymphoid,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,CVCL_1073,ATN1_68_2019,ATN-1,haematopoietic_and_lymphoid_tissue,Adult T acute lymphoblastic leukemia,Cancer cell line,NA,ACH-002058
40,AU565,AU565,AU565,NA,NA,AU565,NA,NA,AU565,NA,AU565,AU565,AU565,au565///AU655///au655,AU565,AU565,AU565,breast,breast,NA,NA,breast,NA,NA,Breast,breast,breast,au565///au655///AU655,breast,breast,Breast,breast,Breast,breast,AU565,breast,NA,NA,CVCL_1074,AU565_70_2019,AU565,breast,Breast adenocarcinoma,Cancer cell line,TRUE,ACH-000248
41,B2-17,B2-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,central_nervous_system,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,central_nervous_system,CNS/Brain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,central_nervous_system,Astrocytoma,NA,NA,NA
42,BALL-1,BALL-1,NA,NA,NA,NA,NA,NA,BALL-1,BALL-1,NA,NA,BALL-1,NA,NA,NA,BALL-1,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA,NA,Blood,NA,blood,NA,NA,haematopoietic_and_lymphoid_tissue,Lymphoid,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,CVCL_1075,BALL1_73_2019,BALL-1,haematopoietic_and_lymphoid_tissue,Adult B acute lymphoblastic leukemia,Cancer cell line,NA,ACH-002211
43,BB30-HNC,BB30-HNC,NA,NA,NA,NA,NA,NA,BB30-HNC,BB30-HNC,NA,NA,BB30-HNC,NA,NA,NA,BB30-HNC,upper_aerodigestive_tract,NA,NA,NA,NA,NA,NA,H&N,NA,aero_digestive_tract,NA,NA,upper_aerodigestive_tract,Head and Neck,NA,NA,upper_aerodigestive_tract,NA,NA,NA,NA,CVCL_1076,BB30HNC_74_2019,BB30-HNC,upper_aerodigestive_tract,Head and neck squamous cell carcinoma,Cancer cell line,NA,ACH-002212
44,BB49-HNC,BB49-HNC,NA,NA,NA,NA,NA,NA,BB49-HNC,BB49-HNC,NA,NA,BB49-HNC,NA,NA,NA,BB49-HNC,upper_aerodigestive_tract,NA,NA,NA,NA,NA,NA,H&N,NA,aero_digestive_tract,NA,NA,upper_aerodigestive_tract,Head and Neck,NA,NA,upper_aerodigestive_tract,NA,NA,NA,NA,CVCL_1077,BB49HNC_75_2019,BB49-HNC,upper_aerodigestive_tract,Floor of mouth squamous cell carcinoma,Cancer cell line,NA,ACH-002213
45,BB65-RCC,BB65-RCC,NA,NA,NA,NA,NA,NA,BB65-RCC,BB65-RCC,NA,NA,BB65-RCC,NA,NA,NA,BB65-RCC,kidney,NA,NA,NA,NA,NA,NA,Kidney,NA,kidney,NA,NA,kidney,Kidney,NA,NA,kidney,NA,NA,NA,NA,CVCL_1078,BB65RCC_76_2019,BB65-RCC,kidney,Renal cell carcinoma,Cancer cell line,NA,ACH-002090
46,BC-1,BC-1,NA,BC1,NA,NA,NA,NA,BC-1,BC-1,NA,NA,BC-1,NA,NA,NA,BC-1,haematopoietic_and_lymphoid_tissue,NA,hematopoietic_and_lymphatic_system,NA,NA,NA,NA,Blood,NA,blood,NA,NA,haematopoietic_and_lymphoid_tissue,Lymphoid,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,CVCL_1079,BC1_77_2019,BC-1,haematopoietic_and_lymphoid_tissue,Primary effusion lymphoma,Cancer cell line,NA,ACH-002214
47,BC-3,BC-3,NA,BC3,NA,NA,NA,NA,NA,BC-3,NA,NA,BC-3,NA,NA,NA,BC-3,haematopoietic_and_lymphoid_tissue,NA,hematopoietic_and_lymphatic_system,NA,NA,NA,NA,NA,NA,blood,NA,NA,haematopoietic_and_lymphoid_tissue,Lymphoid,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,CVCL_1080,BC3_79_2019,BC-3,haematopoietic_and_lymphoid_tissue,Primary effusion lymphoma,Cancer cell line,NA,ACH-002215
48,B-CPAP,BCPAP,B-CPAP,NA,NA,NA,NA,NA,BCPAP,NA,B-CPAP,B-CPAP,BCPAP///B-CPAP,NA,BCPAP,B-CPAP,BCPAP,thyroid,thyroid,NA,NA,NA,NA,NA,Thyroid,thyroid,thyroid,NA,NA,thyroid,Thyroid,thyroid,Thyroid,thyroid,BCPAP,thyroid,NA,NA,CVCL_0153,BCPAP_82_2019,BCPAP,thyroid,Poorly differentiated thyroid gland carcinoma,Cancer cell line,NA,ACH-000456
49,BE-13,BE-13,NA,NA,NA,NA,NA,NA,BE-13,BE-13,NA,NA,BE-13,NA,NA,NA,BE-13,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA,NA,Blood,NA,blood,NA,NA,haematopoietic_and_lymphoid_tissue,Lymphoid,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,CVCL_1081,BE13_84_2019,BE-13,haematopoietic_and_lymphoid_tissue,Childhood T acute lymphoblastic leukemia,Cancer cell line,NA,ACH-002216
50,Becker,Becker,Becker,NA,NA,NA,NA,NA,Becker,Becker,NA,NA,Becker,NA,BECKER,NA,Becker,central_nervous_system,central_nervous_system,NA,NA,NA,NA,NA,CNS,NA,nervous_system,NA,NA,central_nervous_system,CNS/Brain,central_nervous_system,NA,central_nervous_system,Becker,central_nervous_system,NA,NA,CVCL_1093,Becker_86_2019,Becker,central_nervous_system,Astrocytoma,Cancer cell line,NA,ACH-001016
51,BEN,BEN,BEN,NA,NA,NA,BEN,BEN,BEN,NA,BEN,BEN,BEN,NA,BEN,BEN,BEN,lung,lung,NA,NA,NA,Lung,LUNG,Lung:NSCLC,lung,lung,NA,NA,lung,Lung,lung,Lung,lung,NA,NA,NA,NA,CVCL_1082,BEN_87_2019,BEN,lung,Non-small cell lung carcinoma,Cancer cell line,TRUE,ACH-000603
52,BFTC-905,BFTC-905,BFTC-905,BFTC905,NA,NA,BFTC-905,NA,BFTC-905,NA,BFTC-905,BFTC-905,BFTC-905,NA,BFTC905,BFTC-905,BFTC-905,urinary_tract,urinary_tract,bladder,NA,NA,Urinary Bladder,NA,Bladder,urinary_tract,urogenital_system,NA,NA,urinary_tract,Bladder/Urinary Tract,urinary_tract,NA,urinary_tract,NA,NA,NA,NA,CVCL_1083,BFTC905_88_2019,BFTC-905,urinary_tract,Bladder carcinoma,Cancer cell line,NA,ACH-000802
53,BFTC-909,BFTC-909,BFTC-909,NA,NA,NA,BFTC-909,NA,BFTC-909,NA,BFTC-909,BFTC-909,BFTC-909,NA,BFTC909,BFTC-909,BFTC-909,urinary_tract,kidney,NA,NA,NA,Kidney,NA,Kidney,urinary_tract,kidney,NA,NA,urinary_tract,Bladder/Urinary Tract,kidney,Kidney,urinary_tract,NA,NA,NA,NA,CVCL_1084,BFTC909_89_2019,BFTC-909,urinary_tract,Renal cell carcinoma,Cancer cell line,NA,ACH-000792
54,BHT-101,BHT-101,BHT-101,BHT101,NA,NA,NA,NA,BHT-101,NA,BHT-101,BHT-101,BHT-101,NA,BHT101,NA,BHT-101,thyroid,thyroid,thyroid_gland,NA,NA,NA,NA,Thyroid,thyroid,thyroid,NA,NA,thyroid,Thyroid,thyroid,NA,thyroid,BHT101,thyroid,NA,NA,CVCL_1085,BHT101_91_2019,BHT-101,thyroid,Thyroid gland undifferentiated (anaplastic) carcinoma,Cancer cell line,TRUE,ACH-000191
55,BHY,BHY,BHY,NA,NA,NA,BHY,NA,BHY,NA,BHY,BHY,BHY,NA,BHY,BHY,BHY,upper_aerodigestive_tract,upper_aerodigestive_tract,NA,NA,NA,Oral Cavity,NA,Head & Neck,upper_aerodigestive_tract,aero_digestive_tract,NA,NA,upper_aerodigestive_tract,Head and Neck,upper_aerodigestive_tract,Head and Neck,upper_aerodigestive_tract,NA,NA,NA,NA,CVCL_1086,BHY_92_2019,BHY,upper_aerodigestive_tract,Head and neck squamous cell carcinoma,Cancer cell line,NA,ACH-000548
